Player ID,Name,Last_Name,Position,Team,Cost_Today,Total Points,Form,Points/Game,xGi,xGc,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Transfers Out GW,Transfers in GW,Influence,Creativity,Threat,ICT Index,GW12,GW13,GW14,GW15,GW16,GW17,CGW,NGW,NGW2,NGW3,NGW4,NGW5,Diff_Score_1_GW,Diff_Score_2_GW,Diff_Score_3_GW,Diff_Score_4_GW,Diff_Score_5_GW,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5
1,Fábio,Fábio Vieira,MID,Arsenal,54,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,0,0.0,NFO (H),WHU (A),MUN (H),FUL (A),EVE (H),CRY (A),3,2,3,3,2,3,2.0,5.0,8.0,10.0,13.0,0.0,0.0,0.0,0.0,
2,Gabriel,G.Jesus,FWD,Arsenal,68,7,0.8,0.7,0.4,0.73,0.9,0,0,1,1,0,29,2,211,4,0,0,0,0,786,519,24.4,62.9,76,16.2,NFO (H),WHU (A),MUN (H),FUL (A),EVE (H),CRY (A),3,2,3,3,2,3,2.0,5.0,8.0,10.0,13.0,0.16,0.1,0.08,0.0615,5.0
3,Gabriel,Gabriel,DEF,Arsenal,61,51,2.8,4.2,0.17,1.02,24.0,2,0,4,6,4,190,11,1043,1,0,0,0,0,7352,71577,271.2,67.5,180,51.9,NFO (H),WHU (A),MUN (H),FUL (A),EVE (H),CRY (A),3,2,3,3,2,3,2.0,5.0,8.0,10.0,13.0,0.56,0.35,0.28,0.2154,5.0
4,Kai,Havertz,FWD,Arsenal,80,46,1.0,4.2,0.51,1.08,10.8,4,1,3,0,7,169,12,990,2,0,0,0,0,42936,4189,234.8,137.4,359,73.1,NFO (H),WHU (A),MUN (H),FUL (A),EVE (H),CRY (A),3,2,3,3,2,3,2.0,5.0,8.0,10.0,13.0,0.2,0.125,0.1,0.0769,5.0
5,Karl,Hein,GK,Arsenal,40,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0.0,0.0,0,0.0,NFO (H),WHU (A),MUN (H),FUL (A),EVE (H),CRY (A),3,2,3,3,2,3,2.0,5.0,8.0,10.0,13.0,0.0,0.0,0.0,0.0,
6,Jurriën,J.Timber,DEF,Arsenal,55,30,2.8,3.0,0.09,0.95,1.9,0,1,3,6,0,114,7,770,3,0,0,0,0,1324,13356,121.8,149.9,52,32.2,NFO (H),WHU (A),MUN (H),FUL (A),EVE (H),CRY (A),3,2,3,3,2,3,2.0,5.0,8.0,10.0,13.0,0.56,0.35,0.28,0.2154,5.0
7,Jorge Luiz,Jorginho,MID,Arsenal,48,4,0.0,1.0,0.13,0.55,0.2,0,0,1,0,0,19,1,199,3,0,0,0,0,306,141,4.4,35.0,1,4.0,NFO (H),WHU (A),MUN (H),FUL (A),EVE (H),CRY (A),3,2,3,3,2,3,2.0,5.0,8.0,10.0,13.0,0.0,0.0,0.0,0.0,
8,Jakub,Kiwior,DEF,Arsenal,48,4,0.5,0.8,0.0,2.97,0.2,0,0,0,1,0,-1,4,98,0,0,0,0,0,142,91,16.2,1.0,0,1.7,NFO (H),WHU (A),MUN (H),FUL (A),EVE (H),CRY (A),3,2,3,3,2,3,2.0,5.0,8.0,10.0,13.0,0.1,0.0625,0.05,0.0385,5.0
9,Gabriel,Martinelli,MID,Arsenal,69,47,3.0,4.3,0.52,1.13,3.7,3,2,3,0,4,160,9,678,0,0,0,0,0,18192,3557,205.4,169.8,265,64.0,NFO (H),WHU (A),MUN (H),FUL (A),EVE (H),CRY (A),3,2,3,3,2,3,2.0,5.0,8.0,10.0,13.0,0.6,0.375,0.3,0.2308,5.0
12,Ethan,Nwaneri,MID,Arsenal,45,11,2.0,1.8,0.5,0.34,0.4,1,0,0,6,0,42,0,60,0,0,0,0,0,716,3661,50.8,28.5,41,12.1,NFO (H),WHU (A),MUN (H),FUL (A),EVE (H),CRY (A),3,2,3,3,2,3,2.0,5.0,8.0,10.0,13.0,0.4,0.25,0.2,0.1538,5.0
13,Martin,Ødegaard,MID,Arsenal,82,20,3.2,4.0,0.42,0.95,4.3,0,2,3,6,2,84,2,424,1,0,0,0,0,2307,21031,98.6,193.2,90,38.2,NFO (H),WHU (A),MUN (H),FUL (A),EVE (H),CRY (A),3,2,3,3,2,3,2.0,5.0,8.0,10.0,13.0,0.64,0.4,0.32,0.2462,5.0
15,David,Raya,GK,Arsenal,55,48,2.8,4.0,0.0,1.02,28.7,0,0,4,6,6,176,12,1080,2,0,34,0,0,9059,20828,292.2,0.0,0,29.3,NFO (H),WHU (A),MUN (H),FUL (A),EVE (H),CRY (A),3,2,3,3,2,3,2.0,5.0,8.0,10.0,13.0,0.56,0.35,0.28,0.2154,5.0
16,Declan,Rice,MID,Arsenal,62,19,2.2,1.9,0.21,1.0,2.5,0,1,2,0,0,122,12,832,2,1,0,0,0,3005,1015,156.2,229.4,89,46.9,NFO (H),WHU (A),MUN (H),FUL (A),EVE (H),CRY (A),3,2,3,3,2,3,2.0,5.0,8.0,10.0,13.0,0.44,0.275,0.22,0.1692,5.0
17,Bukayo,Saka,MID,Arsenal,101,80,6.5,7.3,0.64,0.85,27.1,4,8,4,13,13,325,9,902,2,0,0,0,0,5450,206212,398.0,457.4,457,131.1,NFO (H),WHU (A),MUN (H),FUL (A),EVE (H),CRY (A),3,2,3,3,2,3,2.0,5.0,8.0,10.0,13.0,1.3,0.8125,0.65,0.5,5.0
