,Unnamed: 0,Player ID,Name,Last_Name,Position,Team,Cost_Today,Total Points,Form,Points/Game,xGi,xGc,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Transfers Out GW,Transfers in GW,Influence,Creativity,Threat,ICT Index,GW4,GW5,GW6,GW7,GW8,GW9,CGW,NGW,NGW2,NGW3,NGW4,NGW5,Diff_Score_1_GW,Diff_Score_2_GW,Diff_Score_3_GW,Diff_Score_4_GW,Diff_Score_5_GW,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5
0,0,1,Fábio,Fábio Vieira,MID,Arsenal,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0,0,0,0,
3,1,2,Gabriel,G.Jesus,FWD,Arsenal,68,1,0.3,0.5,0,1.68,0.8,0,0,0,1,0,2,0,15,1,0,0,0,0,2448,3551,0.2,0.8,0,0.1,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0.0429,0.0333,0.0273,0.02,6.993
7,2,3,Gabriel,Gabriel,DEF,Arsenal,60,29,7.7,7.2,0.14,1.08,12.5,1,0,3,15,4,104,1,360,1,0,0,0,0,14410,66456,114,24.8,52,19.1,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,1.1,0.8556,0.7,0.5133,7
11,3,4,Kai,Havertz,FWD,Arsenal,81,24,4,6,0.42,1.08,17.4,2,1,3,2,5,89,1,360,0,0,0,0,0,72943,38464,121,60.4,127,30.8,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0.5714,0.4444,0.3636,0.2667,7.0004
15,4,5,Karl,Hein,GK,Arsenal,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0,0,0,0,
19,5,6,Jurriën,J.Timber,DEF,Arsenal,55,13,4,3.2,0.04,1.2,1.1,0,0,2,5,0,49,1,268,2,0,0,0,0,3416,9053,29.6,17.2,21,6.7,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0.5714,0.4444,0.3636,0.2667,7.0004
23,6,7,Jorge Luiz,Jorginho,MID,Arsenal,49,2,0.7,2,0,0.74,0.3,0,0,1,2,0,0,0,90,1,0,0,0,0,1052,1219,0.4,1.8,0,0.2,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0.1,0.0778,0.0636,0.0467,7
27,7,8,Jakub,Kiwior,DEF,Arsenal,49,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,528,173,0,0,0,0,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0,0,0,0,
31,8,9,Gabriel,Martinelli,MID,Arsenal,69,10,2.3,2.5,0.36,1.03,1.9,0,0,3,3,0,45,0,249,0,0,0,0,0,7447,3229,42.8,89.1,66,19.7,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0.3286,0.2556,0.2091,0.1533,6.9994
35,9,10,Reiss,Nelson,MID,Fulham,50,1,0.3,0.5,0.31,1.21,0.1,0,0,0,0,0,5,1,26,1,0,0,0,0,346,268,9.6,1.7,28,3.9,WHU (H),NEW (H),NFO (A),MCI (A),AVL (H),EVE (A),2,3,2,5,3,3,3,5,10,13,16,0.06,0.03,0.0231,0.0188,5
39,10,11,Eddie,Nketiah,FWD,Crystal Palace,59,2,0.7,2,0.57,1.23,0.9,0,0,0,2,0,7,2,90,0,0,0,0,0,4188,6648,0,14.8,57,7.1,LEI (H),MUN (H),EVE (A),LIV (H),NFO (A),TOT (H),2,3,3,4,2,3,3,6,10,12,15,0.1167,0.07,0.0583,0.0467,5.9983
43,11,12,Ethan,Nwaneri,MID,Arsenal,45,1,0.3,1,0,2.02,0.3,0,0,0,1,0,5,0,4,0,0,0,0,0,1042,1670,8.2,0.4,0,0.9,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0.0429,0.0333,0.0273,0.02,6.993
47,12,13,Martin,Ødegaard,MID,Arsenal,83,7,1.3,2.3,0.42,1.04,6.5,0,0,2,0,0,29,1,253,1,0,0,0,0,67978,635,34.4,75,60,17,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0.1857,0.1444,0.1182,0.0867,7.0005
51,13,14,Aaron,Ramsdale,GK,Southampton,44,5,1.7,2.5,0,2.72,1.8,0,0,0,3,0,17,6,180,0,0,11,0,0,3569,13724,73.2,0,0,7.3,MUN (H),IPS (H),BOU (A),ARS (A),LEI (H),MCI (A),3,2,2,5,2,5,2,4,9,11,16,0.425,0.1889,0.1545,0.1062,4
55,14,15,David,Raya,GK,Arsenal,55,29,7,7.2,0,1.08,27.9,0,0,3,9,6,96,1,360,1,0,14,0,0,34061,42136,130.8,0,0,13.1,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,1,0.7778,0.6364,0.4667,7
59,15,16,Declan,Rice,MID,Arsenal,63,3,0,1,0.16,0.68,3,0,0,2,0,0,17,1,222,1,1,0,0,0,9112,4422,25.4,27.4,35,8.1,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0,0,0,0,
63,16,17,Bukayo,Saka,MID,Arsenal,100,31,6.3,7.8,0.64,1.07,29.8,1,4,3,7,4,109,1,341,1,0,0,0,0,82198,36605,153.8,145.3,206,50.5,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0.9,0.7,0.5727,0.42,7
67,17,18,William,Saliba,DEF,Arsenal,60,19,4.3,4.8,0.01,1.08,36.4,0,0,3,5,0,82,1,360,1,0,0,0,0,56813,18850,68.8,3.8,2,7.5,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0.6143,0.4778,0.3909,0.2867,6.9998
71,18,19,Emile,Smith Rowe,MID,Fulham,57,22,6.3,5.5,0.53,0.86,26.5,1,1,2,7,4,80,2,274,0,0,0,0,0,23567,128438,72.8,54.7,56,18.4,WHU (H),NEW (H),NFO (A),MCI (A),AVL (H),EVE (A),2,3,2,5,3,3,3,5,10,13,16,1.26,0.63,0.4846,0.3938,5
75,19,20,Thomas,Thomas,MID,Arsenal,50,18,5,4.5,0.09,1.08,1.5,1,0,3,3,3,63,1,360,1,0,0,0,0,6481,6503,90.8,54.5,9,15.5,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0.7143,0.5556,0.4545,0.3333,6.9999
79,20,21,Kieran,Tierney,DEF,Arsenal,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,27,0,0,0,0,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0,0,0,0,
83,21,22,Tomiyasu,Tomiyasu,DEF,Arsenal,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,29,0,0,0,0,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0,0,0,0,
87,22,23,Leandro,Trossard,MID,Arsenal,69,12,3.7,3,0.21,0.97,1.8,1,0,1,3,1,51,1,172,0,0,0,0,0,6742,3968,56.6,37.2,52,14.7,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0.5286,0.4111,0.3364,0.2467,6.9996
91,23,24,Benjamin,White,DEF,Arsenal,65,20,4.7,5,0.05,1.08,8.3,0,0,3,6,0,76,1,360,0,0,0,0,0,18960,5052,47.2,10.8,17,7.5,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0.6714,0.5222,0.4273,0.3133,7.0003
95,24,25,Oleksandr,Zinchenko,DEF,Arsenal,49,7,0.3,3.5,0.05,0.69,2.1,0,0,1,0,0,25,0,78,0,0,0,0,0,15231,1084,7.2,4.9,6,1.8,TOT (A),MCI (A),LEI (H),SOU (H),BOU (A),LIV (H),4,5,2,2,2,4,5,7,9,11,15,0.0429,0.0333,0.0273,0.02,6.993
