,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,45.4,17,187,1530,17.0,16,12,28,15,1,1,49,0,15.8,15.0,10.6,25.6,308,455,0.94,0.71,1.65,0.88,1.59,0.93,0.62,1.55,0.88,1.51
1,vs Aston Villa,49.9,17,187,1530,17.0,26,17,43,25,1,2,50,1,20.2,18.6,14.2,32.9,319,570,1.53,1.0,2.53,1.47,2.47,1.19,0.84,2.03,1.1,1.93
2,vs Bournemouth,55.0,17,187,1530,17.0,21,16,37,20,1,1,50,2,22.3,21.5,17.4,38.9,314,604,1.24,0.94,2.18,1.18,2.12,1.31,1.02,2.33,1.26,2.29
3,vs Brentford,52.1,17,187,1530,17.0,31,25,56,30,1,1,40,2,28.5,27.7,21.6,49.3,403,738,1.82,1.47,3.29,1.76,3.24,1.68,1.27,2.94,1.63,2.9
4,vs Brighton,46.6,17,187,1530,17.0,25,16,41,23,2,2,46,3,26.8,25.2,21.5,46.7,258,546,1.47,0.94,2.41,1.35,2.29,1.57,1.26,2.84,1.48,2.75
5,vs Chelsea,42.4,17,187,1530,17.0,19,13,32,16,3,4,52,2,24.3,21.2,17.4,38.6,260,537,1.12,0.76,1.88,0.94,1.71,1.43,1.02,2.46,1.25,2.27
6,vs Crystal Palace,56.6,17,187,1530,17.0,24,19,43,24,0,1,36,1,24.5,23.8,19.1,42.9,318,701,1.41,1.12,2.53,1.41,2.53,1.44,1.12,2.57,1.4,2.52
7,vs Everton,61.0,16,176,1440,16.0,21,18,39,21,0,1,15,1,21.3,20.5,17.4,37.8,295,693,1.31,1.13,2.44,1.31,2.44,1.33,1.08,2.41,1.28,2.37
8,vs Fulham,48.8,17,187,1530,17.0,21,20,41,21,0,0,31,3,20.4,20.4,16.3,36.6,280,623,1.24,1.18,2.41,1.24,2.41,1.2,0.96,2.16,1.2,2.16
9,vs Ipswich Town,57.1,17,187,1530,17.0,32,20,52,29,3,3,27,1,35.0,32.7,26.2,58.9,358,700,1.88,1.18,3.06,1.71,2.88,2.06,1.54,3.6,1.92,3.46
10,vs Leicester City,53.4,17,187,1530,17.0,35,26,61,34,1,1,38,2,34.6,33.8,25.3,59.1,332,821,2.06,1.53,3.59,2.0,3.53,2.03,1.49,3.52,1.99,3.48
11,vs Liverpool,43.6,16,176,1440,16.0,16,13,29,16,0,1,46,0,16.0,15.0,12.1,27.2,263,503,1.0,0.81,1.81,1.0,1.81,1.0,0.76,1.76,0.94,1.7
12,vs Manchester City,37.7,17,187,1530,17.0,24,19,43,21,3,3,43,1,25.0,22.6,18.9,41.5,252,378,1.41,1.12,2.53,1.24,2.35,1.47,1.11,2.58,1.33,2.44
13,vs Manchester Utd,45.8,17,187,1530,17.0,22,17,39,20,2,3,33,1,24.4,22.0,18.5,40.5,293,528,1.29,1.0,2.29,1.18,2.18,1.43,1.09,2.52,1.3,2.38
14,vs Newcastle Utd,49.5,17,187,1530,17.0,20,19,39,20,0,0,53,0,21.3,21.3,16.8,38.2,318,616,1.18,1.12,2.29,1.18,2.29,1.25,0.99,2.24,1.25,2.24
15,vs Nott'ham Forest,59.4,17,187,1530,17.0,19,14,33,18,1,1,52,1,18.0,17.2,13.6,30.8,444,878,1.12,0.82,1.94,1.06,1.88,1.06,0.8,1.86,1.01,1.81
16,vs Southampton,47.6,17,187,1530,17.0,36,25,61,34,2,2,35,1,37.8,36.4,29.5,65.9,367,714,2.12,1.47,3.59,2.0,3.47,2.23,1.73,3.96,2.14,3.88
17,vs Tottenham,42.2,17,187,1530,17.0,25,15,40,23,2,2,41,3,29.3,27.8,20.8,48.6,269,538,1.47,0.88,2.35,1.35,2.24,1.73,1.23,2.95,1.63,2.86
18,vs West Ham,53.1,17,187,1530,17.0,29,23,52,27,2,2,27,0,29.6,28.1,23.8,51.8,375,726,1.71,1.35,3.06,1.59,2.94,1.74,1.4,3.14,1.65,3.05
19,vs Wolves,53.4,17,187,1530,17.0,37,27,64,32,5,5,44,0,28.0,24.1,19.7,43.7,380,739,2.18,1.59,3.76,1.88,3.47,1.65,1.16,2.81,1.41,2.57
