Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,55.8,2,319,2610,29.0,2,2,91,49,2,2,60,5,2.3,43.0,1.5,76.9,632,1394,1.76,1.38,3.14,1.69,3.07,1.54,1.17,2.71,1.48,2.65
1,Aston Villa,51.4,1,319,2610,29.0,1,1,71,38,2,3,58,2,1.3,38.8,1.0,69.2,554,1010,1.38,1.07,2.45,1.31,2.38,1.42,1.05,2.47,1.34,2.39
2,Bournemouth,47.0,2,319,2610,29.0,2,2,83,41,6,7,74,1,3.8,47.4,2.7,83.9,564,1136,1.62,1.24,2.86,1.41,2.66,1.82,1.26,3.08,1.63,2.89
3,Brentford,48.2,2,319,2610,29.0,2,1,82,46,4,4,40,1,1.6,41.6,1.2,74.1,470,1072,1.72,1.1,2.83,1.59,2.69,1.54,1.12,2.66,1.43,2.56
4,Brighton,51.8,2,319,2610,29.0,3,1,76,43,3,3,62,1,3.5,41.3,2.4,72.1,619,1162,1.59,1.03,2.62,1.48,2.52,1.5,1.06,2.57,1.42,2.48
5,Chelsea,58.1,2,319,2610,29.0,1,1,92,49,3,4,81,1,2.1,52.7,1.1,95.7,667,1199,1.79,1.38,3.17,1.69,3.07,1.93,1.48,3.41,1.82,3.3
6,Crystal Palace,43.9,1,308,2520,28.0,1,0,60,32,2,2,58,1,3.2,42.6,2.2,75.9,371,899,1.21,0.93,2.14,1.14,2.07,1.58,1.19,2.77,1.52,2.71
7,Everton,40.8,2,319,2610,29.0,2,2,48,28,1,1,61,2,2.2,30.8,2.0,55.0,369,799,1.0,0.66,1.66,0.97,1.62,1.09,0.84,1.93,1.06,1.9
8,Fulham,52.7,2,319,2610,29.0,3,2,79,39,3,4,61,2,1.9,36.6,1.3,67.5,612,1215,1.45,1.28,2.72,1.34,2.62,1.37,1.06,2.44,1.26,2.33
9,Ipswich Town,41.4,2,319,2610,29.0,2,2,46,25,2,2,75,3,1.8,25.6,1.0,43.6,401,731,0.93,0.66,1.59,0.86,1.52,0.94,0.62,1.56,0.88,1.5
10,Leicester City,45.9,2,319,2610,29.0,0,0,45,23,2,2,64,0,1.2,24.2,0.9,44.6,472,861,0.86,0.69,1.55,0.79,1.48,0.89,0.7,1.59,0.84,1.54
11,Liverpool,57.1,1,319,2610,29.0,3,1,120,60,9,9,56,2,3.9,58.0,2.1,105.2,635,1441,2.38,1.76,4.14,2.07,3.83,2.24,1.63,3.87,2.0,3.63
12,Manchester City,60.7,2,319,2610,29.0,2,1,94,52,2,3,50,1,2.6,49.0,1.4,91.2,892,1489,1.86,1.38,3.24,1.79,3.17,1.77,1.46,3.23,1.69,3.14
13,Manchester Utd,52.7,2,319,2610,29.0,4,3,58,32,3,3,64,3,2.5,36.5,1.5,65.7,492,1055,1.21,0.79,2.0,1.1,1.9,1.34,1.01,2.35,1.26,2.27
14,Newcastle Utd,50.3,1,308,2520,28.0,1,1,81,43,3,4,52,1,1.4,43.1,1.0,77.6,539,1127,1.64,1.25,2.89,1.54,2.79,1.65,1.23,2.88,1.54,2.77
15,Nott'ham Forest,40.0,2,319,2610,29.0,5,4,82,45,3,3,64,2,2.2,34.2,2.0,60.8,486,839,1.66,1.17,2.83,1.55,2.72,1.26,0.92,2.18,1.18,2.1
16,Southampton,50.4,2,319,2610,29.0,2,0,32,20,0,2,75,3,1.7,25.2,0.9,45.6,518,910,0.69,0.41,1.1,0.69,1.1,0.93,0.7,1.63,0.87,1.57
17,Tottenham,56.8,2,319,2610,29.0,2,1,93,51,1,2,54,1,2.5,45.7,1.5,82.4,671,1294,1.79,1.41,3.21,1.76,3.17,1.63,1.27,2.9,1.58,2.84
18,West Ham,47.0,2,319,2610,29.0,1,1,49,28,3,3,63,3,1.5,34.3,0.8,59.9,482,925,1.07,0.62,1.69,0.97,1.59,1.26,0.88,2.14,1.18,2.06
19,Wolves,47.8,2,319,2610,29.0,3,3,74,40,0,0,63,2,1.1,31.6,1.0,57.6,459,926,1.38,1.17,2.55,1.38,2.55,1.09,0.9,1.99,1.09,1.99
