Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,50.9,1,88,720,8.0,2,1,13,7,1,1,21,0,1.9,8.3,0.8,14.0,194,265,1.0,0.62,1.62,0.87,1.5,1.13,0.71,1.84,1.03,1.74
1,vs Aston Villa,48.4,1,88,720,8.0,1,1,16,9,1,2,30,1,1.8,7.0,1.0,12.5,129,235,1.25,0.75,2.0,1.13,1.87,1.07,0.69,1.76,0.87,1.56
2,vs Bournemouth,55.1,1,88,720,8.0,0,0,18,10,0,0,24,1,0.7,9.6,0.4,17.5,142,275,1.25,1.0,2.25,1.25,2.25,1.2,0.99,2.19,1.2,2.19
3,vs Brentford,53.8,1,88,720,8.0,2,2,26,14,0,0,22,0,1.3,14.1,1.3,25.5,180,370,1.75,1.5,3.25,1.75,3.25,1.77,1.42,3.19,1.77,3.19
4,vs Brighton,43.8,1,88,720,8.0,0,0,17,8,2,2,24,3,2.0,11.7,1.7,22.2,123,238,1.25,0.87,2.12,1.0,1.87,1.66,1.31,2.98,1.46,2.78
5,vs Chelsea,44.3,1,88,720,8.0,2,1,16,9,1,2,26,1,1.9,8.2,1.1,14.3,154,290,1.25,0.75,2.0,1.13,1.87,1.22,0.76,1.98,1.02,1.78
6,vs Crystal Palace,51.4,1,88,720,8.0,1,0,18,11,0,0,17,0,1.6,12.0,1.3,21.3,136,310,1.37,0.87,2.25,1.37,2.25,1.5,1.17,2.66,1.5,2.66
7,vs Everton,61.8,1,88,720,8.0,0,0,27,15,0,1,7,0,1.3,12.4,1.0,22.4,156,375,1.87,1.5,3.38,1.87,3.38,1.65,1.25,2.9,1.55,2.8
8,vs Fulham,50.4,1,88,720,8.0,2,2,19,10,0,0,18,1,1.7,9.8,1.4,17.4,140,293,1.25,1.13,2.37,1.25,2.37,1.22,0.96,2.18,1.22,2.18
9,vs Ipswich Town,57.9,1,88,720,8.0,2,1,25,15,1,1,16,0,1.8,16.3,0.9,28.0,168,312,2.0,1.13,3.12,1.87,3.0,2.13,1.47,3.6,2.03,3.5
10,vs Leicester City,55.8,1,88,720,8.0,2,1,23,12,1,1,18,1,2.1,15.8,1.6,27.8,164,418,1.62,1.25,2.87,1.5,2.75,2.08,1.5,3.57,1.98,3.47
11,vs Liverpool,42.1,1,88,720,8.0,1,1,5,3,0,0,27,0,1.0,6.1,0.7,11.1,116,245,0.37,0.25,0.62,0.37,0.62,0.77,0.63,1.39,0.77,1.39
12,vs Manchester City,34.8,1,88,720,8.0,1,1,14,7,1,1,23,1,0.7,7.7,0.8,14.7,99,163,1.0,0.75,1.75,0.87,1.62,1.07,0.87,1.93,0.97,1.83
13,vs Manchester Utd,47.6,1,88,720,8.0,1,1,17,9,0,1,15,1,0.9,11.4,0.7,21.1,161,267,1.13,1.0,2.12,1.13,2.12,1.52,1.21,2.73,1.42,2.63
14,vs Newcastle Utd,50.5,1,88,720,8.0,1,1,14,7,0,0,26,0,1.1,11.4,0.7,20.4,165,286,0.87,0.87,1.75,0.87,1.75,1.43,1.12,2.55,1.43,2.55
15,vs Nott'ham Forest,58.8,1,88,720,8.0,0,0,9,5,1,1,30,0,1.4,8.0,1.4,14.0,206,414,0.75,0.37,1.13,0.62,1.0,1.1,0.76,1.85,1.0,1.76
16,vs Southampton,44.5,1,88,720,8.0,3,2,30,17,1,1,20,1,3.0,16.1,2.4,29.7,158,322,2.25,1.5,3.75,2.12,3.62,2.09,1.71,3.8,2.01,3.72
17,vs Tottenham,38.4,1,88,720,8.0,1,0,15,9,0,0,19,2,0.7,8.8,0.6,16.3,94,200,1.13,0.75,1.87,1.13,1.87,1.1,0.93,2.03,1.1,2.03
18,vs West Ham,54.5,1,88,720,8.0,3,3,27,14,0,0,13,0,1.9,12.9,1.7,24.5,185,344,1.75,1.62,3.38,1.75,3.38,1.61,1.44,3.06,1.61,3.06
19,vs Wolves,55.6,1,88,720,8.0,2,2,42,21,2,2,20,0,1.6,13.9,1.5,25.5,220,401,2.87,2.37,5.25,2.62,5.0,1.93,1.45,3.38,1.73,3.18
