Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Opponent,Difficulty
1,Fábio,Fábio Vieira,Arsenal,MID,54,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,18,11,CHE (A),4
2,Gabriel,G.Jesus,Arsenal,FWD,68,1,9,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,1,0.8,1.0,0.0,0.2,0.00,0.00,0.00,0.04,1427,4384,11,CHE (A),4
3,Gabriel,Gabriel,Arsenal,DEF,62,2,90,2024-11-10T16:30:00Z,0,0,0,1,0,0,0,0,0,0,14,21.6,12.0,4.0,3.8,0.00,0.23,0.23,1.28,39875,133303,11,CHE (A),4
4,Kai,Havertz,Arsenal,FWD,80,1,90,2024-11-10T16:30:00Z,0,0,0,1,0,0,1,0,0,0,2,12.0,13.2,2.0,2.7,0.00,0.01,0.01,1.28,10408,377887,11,CHE (A),4
5,Karl,Hein,Arsenal,GK,40,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,91,11,CHE (A),4
6,Jurriën,J.Timber,Arsenal,DEF,55,2,90,2024-11-10T16:30:00Z,0,0,0,1,0,0,0,0,0,0,3,12.0,1.5,1.0,1.5,0.04,0.01,0.05,1.28,7533,13451,11,CHE (A),4
7,Jorge Luiz,Jorginho,Arsenal,MID,48,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,384,1431,11,CHE (A),4
8,Jakub,Kiwior,Arsenal,DEF,48,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,288,1118,11,CHE (A),4
9,Gabriel,Martinelli,Arsenal,MID,69,8,70,2024-11-10T16:30:00Z,1,0,0,1,0,0,0,0,0,1,25,37.2,1.4,52.0,9.1,0.48,0.00,0.48,1.22,10823,71466,11,CHE (A),4
12,Ethan,Nwaneri,Arsenal,MID,45,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,3683,2709,11,CHE (A),4
13,Martin,Ødegaard,Arsenal,MID,82,7,90,2024-11-10T16:30:00Z,0,1,0,1,0,0,0,0,0,2,26,28.4,50.7,6.0,8.5,0.11,0.23,0.34,1.28,11410,4339,11,CHE (A),4
15,David,Raya,Arsenal,GK,56,2,90,2024-11-10T16:30:00Z,0,0,0,1,0,0,0,0,2,0,17,20.2,0.0,0.0,2.0,0.00,0.00,0.00,1.28,20560,132641,11,CHE (A),4
16,Declan,Rice,Arsenal,MID,63,2,70,2024-11-10T16:30:00Z,0,0,0,1,0,0,0,0,0,0,11,9.0,5.7,2.0,1.7,0.00,0.07,0.07,1.22,4932,25176,11,CHE (A),4
17,Bukayo,Saka,Arsenal,MID,101,2,80,2024-11-10T16:30:00Z,0,0,0,1,0,0,0,0,0,0,3,1.4,3.4,9.0,1.4,0.03,0.01,0.04,1.24,170244,132470,11,CHE (A),4
18,William,Saliba,Arsenal,DEF,60,2,90,2024-11-10T16:30:00Z,0,0,0,1,0,0,0,0,0,0,18,16.6,22.3,4.0,4.3,0.00,0.26,0.26,1.28,20567,101868,11,CHE (A),4
20,Thomas,Thomas,Arsenal,MID,50,2,90,2024-11-10T16:30:00Z,0,0,0,1,0,0,0,0,0,0,11,9.4,5.7,7.0,2.2,0.19,0.02,0.21,1.28,2465,12281,11,CHE (A),4
21,Kieran,Tierney,Arsenal,DEF,43,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,46,62,11,CHE (A),4
22,Tomiyasu,Tomiyasu,Arsenal,DEF,48,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,58,158,11,CHE (A),4
23,Leandro,Trossard,Arsenal,MID,69,1,19,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,1,1.4,11.3,11.0,2.4,0.03,0.02,0.05,0.06,5217,41297,11,CHE (A),4
24,Benjamin,White,Arsenal,DEF,62,1,90,2024-11-10T16:30:00Z,0,0,0,1,0,0,1,0,0,0,6,18.2,12.9,8.0,3.9,0.02,0.18,0.20,1.28,4130,21504,11,CHE (A),4
25,Oleksandr,Zinchenko,Arsenal,DEF,48,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1132,2843,11,CHE (A),4
73,Norberto,Neto,Arsenal,GK,43,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,377,4733,11,CHE (A),4
186,Raheem,Sterling,Arsenal,MID,67,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,122,6235,11,CHE (A),4
578,Riccardo,Calafiori,Arsenal,DEF,58,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,153,21866,11,CHE (A),4
597,Myles,Lewis-Skelly,Arsenal,MID,45,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,277,440,11,CHE (A),4
633,Mikel,Merino,Arsenal,MID,60,1,19,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,5,10.4,0.3,17.0,2.8,0.10,0.00,0.10,0.06,2392,4228,11,CHE (A),4
638,Salah-Eddine,Oulad M'hand,Arsenal,MID,45,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,38,121,11,CHE (A),4
639,Tommy,Setford,Arsenal,GK,45,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,101,163,11,CHE (A),4
657,Maldini,Kacurri,Arsenal,DEF,40,0,0,2024-11-10T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,368,490,11,CHE (A),4
