Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Avail,Opponent,Difficulty
1,Fábio,Fábio Vieira,Arsenal,MID,54,0,0,2025-04-05T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,2,31,u,EVE (A),3
2,Gabriel,G.Jesus,Arsenal,FWD,65,0,0,2025-04-05T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,53,613,31,i,EVE (A),3
3,Gabriel,Gabriel,Arsenal,DEF,63,0,0,2025-04-05T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,5248,1204606,31,i,EVE (A),3
4,Kai,Havertz,Arsenal,FWD,77,0,0,2025-04-05T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,110,2642,31,i,EVE (A),3
5,Karl,Hein,Arsenal,GK,40,0,0,2025-04-05T11:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,14,31,u,EVE (A),3
6,Jurriën,J.Timber,Arsenal,DEF,56,1,29,2025-04-05T11:30:00Z,0,0,0,0,0,0,0,0,0,0,4,7.0,1.1,10.0,1.8,0.20,0.01,0.21,0.00,73590,61450,31,a,EVE (A),3
7,Jorge Luiz,Jorginho,Arsenal,MID,47,1,70,2025-04-05T11:30:00Z,0,0,0,1,0,0,1,0,0,0,10,3.8,6.4,2.0,1.2,0.00,0.02,0.02,1.09,71,179,31,a,EVE (A),3
8,Jakub,Kiwior,Arsenal,DEF,48,2,90,2025-04-05T11:30:00Z,0,0,0,1,0,0,0,0,0,0,13,18.0,14.8,4.0,3.7,0.00,0.08,0.08,1.09,29371,4129,31,a,EVE (A),3
9,Gabriel,Martinelli,Arsenal,MID,65,1,45,2025-04-05T11:30:00Z,0,0,0,1,0,0,0,0,0,0,7,9.4,2.3,25.0,3.7,0.04,0.02,0.06,0.83,21746,4183,31,a,EVE (A),3
12,Ethan,Nwaneri,Arsenal,MID,46,1,45,2025-04-05T11:30:00Z,0,0,0,0,0,0,0,0,0,0,7,6.6,15.0,4.0,2.6,0.00,0.08,0.08,0.26,6076,67292,31,a,EVE (A),3
13,Martin,Ødegaard,Arsenal,MID,82,1,19,2025-04-05T11:30:00Z,0,0,0,0,0,0,0,0,0,0,2,0.0,0.6,4.0,0.3,0.23,0.00,0.23,0.00,18287,21501,31,a,EVE (A),3
