,Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Opponent,Difficulty
3,1,Fábio,Fábio Vieira,Arsenal,MID,54,0,0,2024-09-15T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,747,4,TOT (A),4
8,2,Gabriel,G.Jesus,Arsenal,FWD,68,1,10,2024-09-15T13:00:00Z,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.13,1997,29510,4,TOT (A),4
13,3,Gabriel,Gabriel,Arsenal,DEF,60,15,90,2024-09-15T13:00:00Z,1,0,1,0,0,0,0,0,0,3,40,58.0,0.7,35.0,9.4,0.27,0.00,0.27,0.74,61041,176466,4,TOT (A),4
18,4,Kai,Havertz,Arsenal,FWD,81,2,90,2024-09-15T13:00:00Z,0,0,1,0,0,0,0,0,0,0,9,19.2,5.4,36.0,6.1,0.14,0.00,0.14,0.74,301692,310368,4,TOT (A),4
23,5,Karl,Hein,Arsenal,GK,40,0,0,2024-09-15T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,495,4,TOT (A),4
28,6,Jurriën,J.Timber,Arsenal,DEF,55,5,90,2024-09-15T13:00:00Z,0,0,1,0,0,0,1,0,0,0,20,13.4,1.1,7.0,2.2,0.05,0.01,0.06,0.74,18538,18614,4,TOT (A),4
33,7,Jorge Luiz,Jorginho,Arsenal,MID,49,2,90,2024-09-15T13:00:00Z,0,0,1,0,0,0,1,0,0,0,0,0.4,1.8,0.0,0.2,0.00,0.00,0.00,0.74,4753,5735,4,TOT (A),4
38,8,Jakub,Kiwior,Arsenal,DEF,49,0,0,2024-09-15T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,672,2351,4,TOT (A),4
43,9,Gabriel,Martinelli,Arsenal,MID,69,3,79,2024-09-15T13:00:00Z,0,0,1,0,0,0,0,0,0,0,18,22.8,25.6,31.0,7.9,0.17,0.14,0.31,0.61,8634,63450,4,TOT (A),4
48,12,Ethan,Nwaneri,Arsenal,MID,45,1,4,2024-09-15T13:00:00Z,0,0,0,0,0,0,0,0,0,0,5,8.2,0.4,0.0,0.9,0.00,0.00,0.00,0.09,7926,4892,4,TOT (A),4
53,13,Martin,Ødegaard,Arsenal,MID,83,0,0,2024-09-15T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,16076,525308,4,TOT (A),4
58,15,David,Raya,Arsenal,GK,55,9,90,2024-09-15T13:00:00Z,0,0,1,0,0,0,0,0,5,2,33,41.0,0.0,0.0,4.1,0.00,0.00,0.00,0.74,175717,272522,4,TOT (A),4
63,16,Declan,Rice,Arsenal,MID,63,0,0,2024-09-15T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1443,215029,4,TOT (A),4
68,17,Bukayo,Saka,Arsenal,MID,101,7,85,2024-09-15T13:00:00Z,0,1,1,0,0,0,0,0,0,1,25,27.0,35.0,13.0,7.5,0.05,0.35,0.40,0.65,222878,597116,4,TOT (A),4
73,18,William,Saliba,Arsenal,DEF,60,5,90,2024-09-15T13:00:00Z,0,0,1,0,0,0,1,0,0,0,22,8.2,0.4,2.0,1.1,0.00,0.01,0.01,0.74,95758,389990,4,TOT (A),4
78,20,Thomas,Thomas,Arsenal,MID,50,3,90,2024-09-15T13:00:00Z,0,0,1,0,0,0,0,0,0,0,12,20.0,2.8,0.0,2.3,0.00,0.07,0.07,0.74,38742,35521,4,TOT (A),4
83,21,Kieran,Tierney,Arsenal,DEF,44,0,0,2024-09-15T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,121,542,4,TOT (A),4
88,22,Tomiyasu,Tomiyasu,Arsenal,DEF,49,0,0,2024-09-15T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,117,793,4,TOT (A),4
93,23,Leandro,Trossard,Arsenal,MID,69,3,79,2024-09-15T13:00:00Z,0,0,1,0,0,0,0,0,0,0,13,9.4,21.2,5.0,3.6,0.05,0.03,0.08,0.61,19468,42619,4,TOT (A),4
98,24,Benjamin,White,Arsenal,DEF,65,6,90,2024-09-15T13:00:00Z,0,0,1,0,0,0,0,0,0,0,23,10.2,1.9,0.0,1.2,0.00,0.01,0.01,0.74,20512,136138,4,TOT (A),4
103,25,Oleksandr,Zinchenko,Arsenal,DEF,49,0,0,2024-09-15T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,9852,55628,4,TOT (A),4
