,Opponent,Position,Difficulty_points,Difficulty_xG,Side,FD_combined,Team
0,ARS (A),GK,4,3,A,3.5,Arsenal
40,ARS (A),DEF,4,3,A,3.5,Arsenal
120,ARS (A),FWD,5,5,A,5,Arsenal
80,ARS (A),MID,5,5,A,5,Arsenal
1,ARS (H),GK,4,3,H,3.5,Arsenal
41,ARS (H),DEF,4,3,H,3.5,Arsenal
81,ARS (H),MID,5,5,H,5,Arsenal
121,ARS (H),FWD,5,5,H,5,Arsenal
82,AVL (A),MID,4,5,A,4.5,Aston Villa
42,AVL (A),DEF,5,4,A,4.5,Aston Villa
2,AVL (A),GK,5,4,A,4.5,Aston Villa
122,AVL (A),FWD,4,5,A,4.5,Aston Villa
83,AVL (H),MID,2,1,H,2,Aston Villa
43,AVL (H),DEF,2,2,H,2,Aston Villa
3,AVL (H),GK,2,2,H,2,Aston Villa
123,AVL (H),FWD,2,1,H,2,Aston Villa
84,BHA (A),MID,4,3,A,3.5,Brighton
44,BHA (A),DEF,4,3,A,3.5,Brighton
124,BHA (A),FWD,4,3,A,3.5,Brighton
4,BHA (A),GK,4,3,A,3.5,Brighton
5,BHA (H),GK,4,4,H,4,Brighton
85,BHA (H),MID,2,2,H,2,Brighton
125,BHA (H),FWD,2,2,H,2,Brighton
45,BHA (H),DEF,4,4,H,4,Brighton
46,BOU (A),DEF,3,5,A,4,Bournemouth
86,BOU (A),MID,3,4,A,3.5,Bournemouth
126,BOU (A),FWD,3,4,A,3.5,Bournemouth
6,BOU (A),GK,3,5,A,4,Bournemouth
7,BOU (H),GK,5,5,H,5,Bournemouth
47,BOU (H),DEF,5,5,H,5,Bournemouth
87,BOU (H),MID,3,3,H,3,Bournemouth
127,BOU (H),FWD,3,3,H,3,Bournemouth
88,BRE (A),MID,2,2,A,2,Brentford
128,BRE (A),FWD,2,2,A,2,Brentford
8,BRE (A),GK,2,4,A,3,Brentford
48,BRE (A),DEF,2,4,A,3,Brentford
89,BRE (H),MID,5,2,H,3.5,Brentford
49,BRE (H),DEF,3,3,H,3,Brentford
129,BRE (H),FWD,5,2,H,3.5,Brentford
9,BRE (H),GK,3,3,H,3,Brentford
90,CHE (A),MID,5,4,A,4.5,Chelsea
50,CHE (A),DEF,5,5,A,5,Chelsea
130,CHE (A),FWD,5,4,A,4.5,Chelsea
10,CHE (A),GK,5,5,A,5,Chelsea
91,CHE (H),MID,2,2,H,2,Chelsea
51,CHE (H),DEF,2,5,H,3.5,Chelsea
11,CHE (H),GK,2,5,H,3.5,Chelsea
131,CHE (H),FWD,2,2,H,2,Chelsea
12,CRY (A),GK,5,3,A,4,Crystal Palace
132,CRY (A),FWD,2,3,A,2.5,Crystal Palace
52,CRY (A),DEF,5,3,A,4,Crystal Palace
92,CRY (A),MID,2,3,A,2.5,Crystal Palace
53,CRY (H),DEF,5,3,H,4,Crystal Palace
93,CRY (H),MID,5,4,H,4.5,Crystal Palace
13,CRY (H),GK,5,3,H,4,Crystal Palace
133,CRY (H),FWD,5,4,H,4.5,Crystal Palace
14,EVE (A),GK,2,2,A,2,Everton
54,EVE (A),DEF,2,2,A,2,Everton
134,EVE (A),FWD,4,4,A,4,Everton
94,EVE (A),MID,4,4,A,4,Everton
135,EVE (H),FWD,3,4,H,3.5,Everton
95,EVE (H),MID,3,4,H,3.5,Everton
15,EVE (H),GK,2,1,H,2,Everton
55,EVE (H),DEF,2,1,H,2,Everton
136,FUL (A),FWD,4,4,A,4,Fulham
56,FUL (A),DEF,3,2,A,2.5,Fulham
16,FUL (A),GK,3,2,A,2.5,Fulham
96,FUL (A),MID,4,4,A,4,Fulham
57,FUL (H),DEF,5,4,H,4.5,Fulham
137,FUL (H),FWD,4,5,H,4.5,Fulham
97,FUL (H),MID,4,5,H,4.5,Fulham
17,FUL (H),GK,5,4,H,4.5,Fulham
58,LEE (A),DEF,2,1,A,2,Leeds
138,LEE (A),FWD,2,1,A,2,Leeds
18,LEE (A),GK,2,1,A,2,Leeds
98,LEE (A),MID,2,1,A,2,Leeds
99,LEE (H),MID,2,1,H,2,Leeds
139,LEE (H),FWD,2,1,H,2,Leeds
59,LEE (H),DEF,2,1,H,2,Leeds
19,LEE (H),GK,2,1,H,2,Leeds
100,SUN (A),MID,2,2,A,2,Sunderland
140,SUN (A),FWD,2,2,A,2,Sunderland
60,SUN (A),DEF,2,1,A,2,Sunderland
20,SUN (A),GK,2,1,A,2,Sunderland
21,SUN (H),GK,2,1,H,2,Sunderland
141,SUN (H),FWD,2,1,H,2,Sunderland
101,SUN (H),MID,2,1,H,2,Sunderland
61,SUN (H),DEF,2,1,H,2,Sunderland
22,LIV (A),GK,5,5,A,5,Liverpool
102,LIV (A),MID,5,5,A,5,Liverpool
142,LIV (A),FWD,5,5,A,5,Liverpool
62,LIV (A),DEF,5,5,A,5,Liverpool
23,LIV (H),GK,5,5,H,5,Liverpool
143,LIV (H),FWD,5,5,H,5,Liverpool
103,LIV (H),MID,5,5,H,5,Liverpool
63,LIV (H),DEF,5,5,H,5,Liverpool
104,MCI (A),MID,4,3,A,3.5,Man City
144,MCI (A),FWD,4,3,A,3.5,Man City
64,MCI (A),DEF,4,5,A,4.5,Man City
24,MCI (A),GK,4,5,A,4.5,Man City
65,MCI (H),DEF,3,4,H,3.5,Man City
25,MCI (H),GK,3,4,H,3.5,Man City
105,MCI (H),MID,3,3,H,3,Man City
145,MCI (H),FWD,3,3,H,3,Man City
66,MUN (A),DEF,2,3,A,2.5,Man Utd
106,MUN (A),MID,3,2,A,2.5,Man Utd
26,MUN (A),GK,2,3,A,2.5,Man Utd
146,MUN (A),FWD,3,2,A,2.5,Man Utd
27,MUN (H),GK,2,2,H,2,Man Utd
67,MUN (H),DEF,2,2,H,2,Man Utd
107,MUN (H),MID,4,3,H,3.5,Man Utd
147,MUN (H),FWD,4,3,H,3.5,Man Utd
28,NEW (A),GK,4,4,A,4,Newcastle
108,NEW (A),MID,3,3,A,3,Newcastle
148,NEW (A),FWD,3,3,A,3,Newcastle
68,NEW (A),DEF,4,4,A,4,Newcastle
69,NEW (H),DEF,3,4,H,3.5,Newcastle
109,NEW (H),MID,3,5,H,4,Newcastle
149,NEW (H),FWD,3,5,H,4,Newcastle
29,NEW (H),GK,3,4,H,3.5,Newcastle
70,NFO (A),DEF,4,2,A,3,Nottingham Forest
150,NFO (A),FWD,5,5,A,5,Nottingham Forest
30,NFO (A),GK,4,2,A,3,Nottingham Forest
110,NFO (A),MID,5,5,A,5,Nottingham Forest
31,NFO (H),GK,3,2,H,2.5,Nottingham Forest
151,NFO (H),FWD,2,4,H,3,Nottingham Forest
71,NFO (H),DEF,3,2,H,2.5,Nottingham Forest
111,NFO (H),MID,2,4,H,3,Nottingham Forest
32,BUR (A),GK,2,1,A,2,Burnley
112,BUR (A),MID,2,1,A,2,Burnley
152,BUR (A),FWD,2,1,A,2,Burnley
72,BUR (A),DEF,2,1,A,2,Burnley
73,BUR (H),DEF,2,1,H,2,Burnley
33,BUR (H),GK,2,1,H,2,Burnley
153,BUR (H),FWD,2,1,H,2,Burnley
113,BUR (H),MID,2,1,H,2,Burnley
154,TOT (A),FWD,2,1,A,2,Spurs
74,TOT (A),DEF,3,4,A,3.5,Spurs
34,TOT (A),GK,3,4,A,3.5,Spurs
114,TOT (A),MID,2,1,A,2,Spurs
155,TOT (H),FWD,4,3,H,3.5,Spurs
115,TOT (H),MID,4,3,H,3.5,Spurs
75,TOT (H),DEF,2,4,H,3,Spurs
35,TOT (H),GK,2,4,H,3,Spurs
116,WHU (A),MID,2,1,A,2,West Ham
76,WHU (A),DEF,2,2,A,2,West Ham
36,WHU (A),GK,2,2,A,2,West Ham
156,WHU (A),FWD,2,1,A,2,West Ham
117,WHU (H),MID,3,4,H,3.5,West Ham
157,WHU (H),FWD,3,4,H,3.5,West Ham
37,WHU (H),GK,4,3,H,3.5,West Ham
77,WHU (H),DEF,4,3,H,3.5,West Ham
118,WOL (A),MID,2,2,A,2,Wolves
158,WOL (A),FWD,2,2,A,2,Wolves
78,WOL (A),DEF,3,1,A,2,Wolves
38,WOL (A),GK,3,1,A,2,Wolves
79,WOL (H),DEF,2,2,H,2,Wolves
39,WOL (H),GK,2,2,H,2,Wolves
119,WOL (H),MID,2,2,H,2,Wolves
159,WOL (H),FWD,2,2,H,2,Wolves
