,Opponent,Position,Difficulty,Team
0,ARS (A),GK,5,Arsenal
0,ARS (A),DEF,5,Arsenal
0,ARS (A),FWD,5,Arsenal
0,ARS (A),MID,5,Arsenal
1,ARS (H),GK,4,Arsenal
1,ARS (H),DEF,4,Arsenal
1,ARS (H),MID,5,Arsenal
1,ARS (H),FWD,5,Arsenal
2,AVL (A),MID,5,Aston Villa
2,AVL (A),DEF,2,Aston Villa
2,AVL (A),GK,2,Aston Villa
2,AVL (A),FWD,5,Aston Villa
3,AVL (H),MID,2,Aston Villa
3,AVL (H),DEF,2,Aston Villa
3,AVL (H),GK,2,Aston Villa
3,AVL (H),FWD,2,Aston Villa
4,BHA (A),MID,4,Brighton
4,BHA (A),DEF,5,Brighton
4,BHA (A),FWD,4,Brighton
4,BHA (A),GK,5,Brighton
5,BHA (H),GK,2,Brighton
5,BHA (H),MID,2,Brighton
5,BHA (H),FWD,2,Brighton
5,BHA (H),DEF,2,Brighton
6,BOU (A),DEF,3,Bournemouth
6,BOU (A),MID,5,Bournemouth
6,BOU (A),FWD,5,Bournemouth
6,BOU (A),GK,3,Bournemouth
7,BOU (H),GK,4,Bournemouth
7,BOU (H),DEF,4,Bournemouth
7,BOU (H),MID,2,Bournemouth
7,BOU (H),FWD,2,Bournemouth
8,BRE (A),MID,3,Brentford
8,BRE (A),FWD,3,Brentford
8,BRE (A),GK,4,Brentford
8,BRE (A),DEF,4,Brentford
9,BRE (H),MID,2,Brentford
9,BRE (H),DEF,3,Brentford
9,BRE (H),FWD,2,Brentford
9,BRE (H),GK,3,Brentford
10,BUR (A),MID,3,Burnley
10,BUR (A),DEF,2,Burnley
10,BUR (A),FWD,3,Burnley
10,BUR (A),GK,2,Burnley
11,BUR (H),MID,2,Burnley
11,BUR (H),DEF,4,Burnley
11,BUR (H),GK,4,Burnley
11,BUR (H),FWD,2,Burnley
12,CHE (A),GK,4,Chelsea
12,CHE (A),FWD,5,Chelsea
12,CHE (A),DEF,4,Chelsea
12,CHE (A),MID,5,Chelsea
13,CHE (H),DEF,5,Chelsea
13,CHE (H),MID,5,Chelsea
13,CHE (H),GK,5,Chelsea
13,CHE (H),FWD,5,Chelsea
14,CRY (A),GK,4,Crystal Palace
14,CRY (A),DEF,4,Crystal Palace
14,CRY (A),FWD,4,Crystal Palace
14,CRY (A),MID,4,Crystal Palace
15,CRY (H),FWD,4,Crystal Palace
15,CRY (H),MID,4,Crystal Palace
15,CRY (H),GK,3,Crystal Palace
15,CRY (H),DEF,3,Crystal Palace
16,EVE (A),FWD,4,Everton
16,EVE (A),DEF,2,Everton
16,EVE (A),GK,2,Everton
16,EVE (A),MID,4,Everton
17,EVE (H),DEF,3,Everton
17,EVE (H),FWD,2,Everton
17,EVE (H),MID,2,Everton
17,EVE (H),GK,3,Everton
18,FUL (A),DEF,4,Fulham
18,FUL (A),FWD,5,Fulham
18,FUL (A),GK,4,Fulham
18,FUL (A),MID,5,Fulham
19,FUL (H),MID,2,Fulham
19,FUL (H),FWD,2,Fulham
19,FUL (H),DEF,3,Fulham
19,FUL (H),GK,3,Fulham
20,LEE (A),MID,4,Leeds
20,LEE (A),FWD,4,Leeds
20,LEE (A),DEF,4,Leeds
