,Opponent,z_score,Av_GW_Points,Position,Difficulty,Team
0,ARS (A),-0.6336529429347451,1.57,GK,5,Arsenal
0,ARS (A),-0.6336529429347451,1.57,DEF,5,Arsenal
0,ARS (A),-0.3347440855024121,2.94,FWD,5,Arsenal
0,ARS (A),-0.3347440855024121,2.94,MID,5,Arsenal
1,ARS (H),-0.06668295054705195,3.43,GK,3,Arsenal
1,ARS (H),-0.06668295054705195,3.43,DEF,3,Arsenal
1,ARS (H),-0.36661920094474076,2.84,MID,5,Arsenal
1,ARS (H),-0.36661920094474076,2.84,FWD,5,Arsenal
2,AVL (A),-0.4076632125459321,2.7,MID,5,Aston Villa
2,AVL (A),-0.0018832387934536725,3.64,DEF,3,Aston Villa
2,AVL (A),-0.0018832387934536725,3.64,GK,3,Aston Villa
2,AVL (A),-0.4076632125459321,2.7,FWD,5,Aston Villa
3,AVL (H),0.12956564349840183,4.43,MID,2,Aston Villa
3,AVL (H),-0.005804111463630135,3.63,DEF,3,Aston Villa
3,AVL (H),-0.005804111463630135,3.63,GK,3,Aston Villa
3,AVL (H),0.12956564349840183,4.43,FWD,2,Aston Villa
4,BHA (A),-0.06488826325213119,3.81,MID,4,Brighton
4,BHA (A),-0.3409363422085008,2.53,DEF,5,Brighton
4,BHA (A),-0.06488826325213119,3.81,FWD,4,Brighton
4,BHA (A),-0.3409363422085008,2.53,GK,5,Brighton
5,BHA (H),0.29093466107472526,4.61,GK,2,Brighton
5,BHA (H),0.26366320223537704,4.87,MID,2,Brighton
5,BHA (H),0.26366320223537704,4.87,FWD,2,Brighton
5,BHA (H),0.29093466107472526,4.61,DEF,2,Brighton
6,BOU (A),0.20128925411569054,4.31,DEF,2,Bournemouth
6,BOU (A),-0.30114080115055963,3.05,MID,5,Bournemouth
6,BOU (A),-0.30114080115055963,3.05,FWD,5,Bournemouth
6,BOU (A),0.20128925411569054,4.31,GK,2,Bournemouth
7,BOU (H),-0.1513973553701829,3.15,GK,3,Bournemouth
7,BOU (H),-0.1513973553701829,3.15,DEF,3,Bournemouth
7,BOU (H),0.3121191382707483,5.02,MID,2,Bournemouth
7,BOU (H),0.3121191382707483,5.02,FWD,2,Bournemouth
8,BRE (A),-0.08873526035480131,3.73,MID,4,Brentford
8,BRE (A),-0.08873526035480131,3.73,FWD,4,Brentford
8,BRE (A),-0.28424090842616184,2.72,GK,4,Brentford
8,BRE (A),-0.28424090842616184,2.72,DEF,4,Brentford
9,BRE (H),0.19733991986320645,4.65,MID,2,Brentford
9,BRE (H),0.19567310390519388,4.29,DEF,2,Brentford
9,BRE (H),0.19733991986320645,4.65,FWD,2,Brentford
9,BRE (H),0.19567310390519388,4.29,GK,2,Brentford
10,BUR (A),-0.03993127078882627,3.89,MID,3,Burnley
10,BUR (A),0.4352940639312225,5.08,DEF,2,Burnley
10,BUR (A),-0.03993127078882627,3.89,FWD,3,Burnley
10,BUR (A),0.4352940639312225,5.08,GK,2,Burnley
11,BUR (H),0.43547007446952846,5.42,MID,2,Burnley
11,BUR (H),-0.1982833152722931,3.0,DEF,4,Burnley
11,BUR (H),-0.1982833152722931,3.0,GK,4,Burnley
11,BUR (H),0.43547007446952846,5.42,FWD,2,Burnley
12,CHE (A),-0.3218341555548808,2.59,GK,4,Chelsea
12,CHE (A),-0.3916565749022325,2.76,FWD,5,Chelsea
12,CHE (A),-0.3218341555548808,2.59,DEF,4,Chelsea
12,CHE (A),-0.3916565749022325,2.76,MID,5,Chelsea
13,CHE (H),-0.24272729809616841,2.85,DEF,4,Chelsea
13,CHE (H),-0.04153589273927132,3.88,MID,3,Chelsea
13,CHE (H),-0.24272729809616841,2.85,GK,4,Chelsea
13,CHE (H),-0.04153589273927132,3.88,FWD,3,Chelsea
14,CRY (A),0.05705508797838816,3.84,GK,3,Crystal Palace
14,CRY (A),0.05705508797838816,3.84,DEF,3,Crystal Palace
14,CRY (A),0.0009047204806630349,4.02,FWD,3,Crystal Palace
14,CRY (A),0.0009047204806630349,4.02,MID,3,Crystal Palace
15,CRY (H),-0.0054318988542577185,4.0,FWD,3,Crystal Palace
15,CRY (H),-0.0054318988542577185,4.0,MID,3,Crystal Palace
15,CRY (H),-0.11215584545211241,3.28,GK,3,Crystal Palace
15,CRY (H),-0.11215584545211241,3.28,DEF,3,Crystal Palace
16,EVE (A),-0.13652951220561824,3.58,FWD,4,Everton
16,EVE (A),0.34889714858528853,4.8,DEF,2,Everton
16,EVE (A),0.34889714858528853,4.8,GK,2,Everton
16,EVE (A),-0.13652951220561824,3.58,MID,4,Everton
17,EVE (H),0.2661109542343223,4.52,DEF,2,Everton
17,EVE (H),0.05494200203123725,4.19,FWD,2,Everton
17,EVE (H),0.05494200203123725,4.19,MID,2,Everton
17,EVE (H),0.2661109542343223,4.52,GK,2,Everton
18,FUL (A),-0.35390479920270146,2.49,DEF,5,Fulham
18,FUL (A),-0.039181284442422616,3.89,FWD,3,Fulham
18,FUL (A),-0.35390479920270146,2.49,GK,5,Fulham
18,FUL (A),-0.039181284442422616,3.89,MID,3,Fulham
19,FUL (H),0.24592066809759888,4.81,MID,2,Fulham
19,FUL (H),0.24592066809759888,4.81,FWD,2,Fulham
19,FUL (H),-0.02897290451467292,3.56,DEF,3,Fulham
19,FUL (H),-0.02897290451467292,3.56,GK,3,Fulham
20,LEE (A),-0.18890583141537232,3.41,MID,4,Leeds
20,LEE (A),-0.18890583141537232,3.41,FWD,4,Leeds
20,LEE (A),-0.3160310100264562,2.61,DEF,4,Leeds
20,LEE (A),-0.3160310100264562,2.61,GK,4,Leeds
21,LEE (H),0.6357932345652464,5.74,GK,2,Leeds
21,LEE (H),0.3721963615106143,5.22,FWD,2,Leeds
21,LEE (H),0.3721963615106143,5.22,MID,2,Leeds
