Team,GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Arsenal,MUN (A),LEE (H),LIV (A),NFO (H),MCI (H),NEW (A),WHU (H),FUL (A),CRY (H),BUR (A),SUN (A),TOT (H),CHE (A),BRE (H),AVL (A),WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),LIV (H),NFO (A),MUN (H),LEE (A),SUN (H),BRE (A),TOT (A),CHE (H),BHA (A),EVE (H),WOL (A),BOU (H),MCI (A),NEW (H),FUL (H),WHU (A),BUR (H),CRY (A)
Aston Villa,NEW (H),BRE (A),CRY (H),EVE (A),SUN (A),FUL (H),BUR (H),TOT (A),MCI (H),LIV (A),BOU (H),LEE (A),WOL (H),BHA (A),ARS (H),WHU (A),MUN (H),CHE (A),ARS (A),NFO (H),CRY (A),EVE (H),NEW (A),BRE (H),BOU (A),BHA (H),LEE (H),WOL (A),CHE (H),MUN (A),WHU (H),NFO (A),SUN (H),FUL (A),TOT (H),BUR (A),LIV (H),MCI (A)
Bournemouth,LIV (A),WOL (H),TOT (A),BHA (H),NEW (H),LEE (A),FUL (H),CRY (A),NFO (H),MCI (A),AVL (A),WHU (H),SUN (A),EVE (H),CHE (H),MUN (A),BUR (H),BRE (A),CHE (A),ARS (H),TOT (H),BHA (A),LIV (H),WOL (A),AVL (H),EVE (A),WHU (A),SUN (H),BRE (H),BUR (A),MUN (H),ARS (A),NEW (A),LEE (H),CRY (H),FUL (A),MCI (H),NFO (A)
Brentford,NFO (A),AVL (H),SUN (A),CHE (H),FUL (A),MUN (H),MCI (H),WHU (A),LIV (H),CRY (A),NEW (H),BHA (A),BUR (H),ARS (A),TOT (A),LEE (H),WOL (A),BOU (H),TOT (H),EVE (A),SUN (H),CHE (A),NFO (H),AVL (A),NEW (A),ARS (H),BHA (H),BUR (A),BOU (A),WOL (H),LEE (A),EVE (H),FUL (H),MUN (A),WHU (H),MCI (A),CRY (H),LIV (A)
Brighton,FUL (H),EVE (A),MCI (H),BOU (A),TOT (H),CHE (A),WOL (A),NEW (H),MUN (A),LEE (H),CRY (A),BRE (H),NFO (A),AVL (H),WHU (H),LIV (A),SUN (H),ARS (A),WHU (A),BUR (H),MCI (A),BOU (H),FUL (A),EVE (H),CRY (H),AVL (A),BRE (A),NFO (H),ARS (H),SUN (A),LIV (H),BUR (A),TOT (A),CHE (H),NEW (A),WOL (H),LEE (A),MUN (H)
Burnley,TOT (A),SUN (H),MUN (A),LIV (H),NFO (H),MCI (A),AVL (A),LEE (H),WOL (A),ARS (H),WHU (A),CHE (H),BRE (A),CRY (H),NEW (A),FUL (H),BOU (A),EVE (H),NEW (H),BHA (A),MUN (H),LIV (A),TOT (H),SUN (A),WHU (H),CRY (A),CHE (A),BRE (H),EVE (A),BOU (H),FUL (A),BHA (H),NFO (A),MCI (H),LEE (A),AVL (H),ARS (A),WOL (H)
Chelsea,CRY (H),WHU (A),FUL (H),BRE (A),MUN (A),BHA (H),LIV (H),NFO (A),SUN (H),TOT (A),WOL (H),BUR (A),ARS (H),LEE (A),BOU (A),EVE (H),NEW (A),AVL (H),BOU (H),MCI (A),FUL (A),BRE (H),CRY (A),WHU (H),WOL (A),LEE (H),BUR (H),ARS (A),AVL (A),NEW (H),EVE (A),MCI (H),MUN (H),BHA (A),NFO (H),LIV (A),TOT (H),SUN (A)
Crystal Palace,CHE (A),NFO (H),AVL (A),SUN (H),WHU (A),LIV (H),EVE (A),BOU (H),ARS (A),BRE (H),BHA (H),WOL (A),MUN (H),BUR (A),FUL (A),MCI (H),LEE (A),TOT (H),FUL (H),NEW (A),AVL (H),SUN (A),CHE (H),NFO (A),BHA (A),BUR (H),WOL (H),MUN (A),TOT (A),LEE (H),MCI (A),NEW (H),WHU (H),LIV (A),BOU (A),EVE (H),BRE (A),ARS (H)
Everton,LEE (A),BHA (H),WOL (A),AVL (H),LIV (A),WHU (H),CRY (H),MCI (A),TOT (H),SUN (A),FUL (H),MUN (A),NEW (H),BOU (A),NFO (H),CHE (A),ARS (H),BUR (A),NFO (A),BRE (H),WOL (H),AVL (A),LEE (H),BHA (A),FUL (A),BOU (H),MUN (H),NEW (A),BUR (H),ARS (A),CHE (H),BRE (A),LIV (H),WHU (A),MCI (H),CRY (A),SUN (H),TOT (A)
Fulham,BHA (A),MUN (H),CHE (A),LEE (H),BRE (H),AVL (A),BOU (A),ARS (H),NEW (A),WOL (H),EVE (A),SUN (H),TOT (A),MCI (H),CRY (H),BUR (A),NFO (H),WHU (A),CRY (A),LIV (H),CHE (H),LEE (A),BHA (H),MUN (A),EVE (H),MCI (A),SUN (A),TOT (H),WHU (H),NFO (A),BUR (H),LIV (A),BRE (A),AVL (H),ARS (A),BOU (H),WOL (A),NEW (H)
