Player ID,Name,Last_Name,Team,team_abbr,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Avail,Opponent,Difficulty
1,David,Raya Martín,Arsenal,ARS,GK,55.0,2.0,90.0,2025-08-31T15:30:00Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,20.0,10.0,0.0,3.0,0.00,0.02,0.02,0.52,146739.0,159050.0,3.0,a,LIV (A),5.0
2,Kepa,Arrizabalaga Revuelta,Arsenal,ARS,GK,44.0,0.0,0.0,2025-08-31T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1131.0,12706.0,3.0,a,LIV (A),5.0
3,Karl,Hein,Arsenal,ARS,GK,40.0,0.0,0.0,2025-08-31T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1710.0,9788.0,3.0,u,LIV (A),5.0
4,Tommy,Setford,Arsenal,ARS,GK,40.0,0.0,0.0,2025-08-31T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,2209.0,1960.0,3.0,a,LIV (A),5.0
5,Gabriel,dos Santos Magalhães,Arsenal,ARS,DEF,61.0,2.0,90.0,2025-08-31T15:30:00Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.4,1.4,2.0,1.9,0.02,0.01,0.03,0.52,137723.0,165771.0,3.0,a,LIV (A),5.0
6,William,Saliba,Arsenal,ARS,DEF,61.0,1.0,4.0,2025-08-31T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.3,0.00,0.00,0.00,0.00,133191.0,143361.0,3.0,d,LIV (A),5.0
7,Riccardo,Calafiori,Arsenal,ARS,DEF,56.0,2.0,90.0,2025-08-31T15:30:00Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.8,1.9,11.0,2.3,0.13,0.01,0.14,0.52,429321.0,68237.0,3.0,a,LIV (A),5.0
8,Jurriën,Timber,Arsenal,ARS,DEF,56.0,2.0,90.0,2025-08-31T15:30:00Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.4,12.4,11.0,3.5,0.09,0.05,0.14,0.52,509691.0,60339.0,3.0,a,LIV (A),5.0
9,Jakub,Kiwior,Arsenal,ARS,DEF,54.0,0.0,0.0,2025-08-31T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,529.0,2485.0,3.0,u,LIV (A),5.0
10,Myles,Lewis-Skelly,Arsenal,ARS,DEF,54.0,0.0,0.0,2025-08-31T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,6649.0,96667.0,3.0,a,LIV (A),5.0
11,Benjamin,White,Arsenal,ARS,DEF,55.0,0.0,0.0,2025-08-31T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,519.0,36320.0,3.0,d,LIV (A),5.0
13,Brayden,Clarke,Arsenal,ARS,DEF,40.0,0.0,0.0,2025-08-31T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,4594.0,9898.0,3.0,a,LIV (A),5.0
14,Maldini,Kacurri,Arsenal,ARS,DEF,40.0,0.0,0.0,2025-08-31T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,945.0,2929.0,3.0,a,LIV (A),5.0
15,Josh,Nichols,Arsenal,ARS,DEF,40.0,0.0,0.0,2025-08-31T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,804.0,2924.0,3.0,a,LIV (A),5.0
16,Bukayo,Saka,Arsenal,ARS,MID,99.0,0.0,0.0,2025-08-31T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,55049.0,1041722.0,3.0,i,LIV (A),5.0
17,Martin,Ødegaard,Arsenal,ARS,MID,79.0,1.0,20.0,2025-08-31T15:30:00Z,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.4,2.2,2.0,0.6,0.00,0.01,0.01,0.25,8169.0,149649.0,3.0,a,LIV (A),5.0
