,Opponent,Position,xG,Difficulty_xG,Av_GW_Points,Difficulty_points,FD_combined
0,ARS (A),GK,1.433,3,1.71,5,5
1,ARS (H),GK,1.675,5,2.76,3,5
2,AVL (A),GK,2.533,5,2.81,3,4
3,AVL (H),GK,1.375,4,2.56,4,4
4,BHA (A),GK,1.7,4,2.41,4,4
5,BHA (H),GK,0.775,1,1.62,5,3
6,BOU (A),GK,1.375,2,2.81,3,3
7,BOU (H),GK,2.033,5,3.5,2,3
8,BRE (A),GK,2.667,5,1.15,5,5
9,BRE (H),GK,0.85,1,3.68,1,2
10,CHE (A),GK,1.567,3,2.29,4,4
11,CHE (H),GK,2.6,5,1.23,5,5
12,CRY (A),GK,1.333,2,4.91,1,2
13,CRY (H),GK,1.575,4,2.63,3,3
14,EVE (A),GK,1.1,1,3.52,2,2
15,EVE (H),GK,1.15,3,4.58,1,2
16,FUL (A),GK,1.175,1,1.94,5,3
17,FUL (H),GK,1.333,4,2.65,3,3
18,IPS (A),GK,1.075,1,4.18,1,2
19,IPS (H),GK,1.167,3,3,2,2
20,LEI (A),GK,1.2,2,2.24,5,3
21,LEI (H),GK,1.55,4,2.94,2,3
22,LIV (A),GK,1.65,4,2.26,4,5
23,LIV (H),GK,2.733,5,1.81,5,5
24,MCI (A),GK,2.733,5,2.54,4,5
25,MCI (H),GK,1.325,3,2.51,4,4
26,MUN (A),GK,1.45,3,2.71,3,3
27,MUN (H),GK,0.867,1,4.38,1,2
28,NEW (A),GK,1.575,4,3.38,2,3
29,NEW (H),GK,1.133,2,2.85,2,2
30,NFO (A),GK,1.475,3,2.36,4,4
31,NFO (H),GK,1.067,2,2.77,3,3
32,SOU (A),GK,1.425,2,4.03,1,2
33,SOU (H),GK,0.6,1,4.38,1,2
34,TOT (A),GK,1.7,4,1.89,5,5
35,TOT (H),GK,1,2,3.09,2,3
36,WHU (A),GK,1.6,4,3.03,2,2
37,WHU (H),GK,1.275,3,2.8,3,2
38,WOL (A),GK,1.025,1,2.57,4,3
39,WOL (H),GK,1.1,2,3.83,1,2
40,ARS (A),DEF,1.433,3,1.71,5,5
41,ARS (H),DEF,1.675,5,2.76,3,5
42,AVL (A),DEF,2.533,5,2.81,3,4
43,AVL (H),DEF,1.375,4,2.56,4,4
44,BHA (A),DEF,1.7,4,2.41,4,4
45,BHA (H),DEF,0.775,1,1.62,5,3
46,BOU (A),DEF,1.375,2,2.81,3,3
47,BOU (H),DEF,2.033,5,3.5,2,3
48,BRE (A),DEF,2.667,5,1.15,5,5
49,BRE (H),DEF,0.85,1,3.68,1,2
50,CHE (A),DEF,1.567,3,2.29,4,4
51,CHE (H),DEF,2.6,5,1.23,5,5
