,Opponent,z_score,Position,Difficulty
0,ARS (A),-0.39,GK,5
1,ARS (H),0.02,GK,3
2,AVL (A),0.08,GK,3
3,AVL (H),-0.3,GK,5
4,BHA (A),-0.14,GK,4
5,BHA (H),-0.51,GK,5
6,BOU (A),0.02,GK,3
7,BOU (H),0.41,GK,2
8,BRE (A),-0.53,GK,5
9,BRE (H),0.34,GK,2
10,CHE (A),-0.12,GK,4
11,CHE (H),-0.57,GK,5
12,CRY (A),0.89,GK,2
13,CRY (H),-0.02,GK,3
14,EVE (A),0.52,GK,2
15,EVE (H),0.58,GK,2
16,FUL (A),-0.25,GK,5
17,FUL (H),-0.05,GK,4
18,IPS (A),0.3,GK,2
19,IPS (H),-0.17,GK,4
20,LEI (A),-0.14,GK,4
21,LEI (H),0.04,GK,3
22,LIV (A),-0.12,GK,4
23,LIV (H),-0.38,GK,5
24,MCI (A),-0.01,GK,3
25,MCI (H),-0.36,GK,5
26,MUN (A),0.14,GK,3
27,MUN (H),0.25,GK,2
28,NEW (A),0.34,GK,2
29,NEW (H),-0.05,GK,4
30,NFO (A),-0.14,GK,4
31,NFO (H),-0.19,GK,4
32,SOU (A),0.43,GK,2
33,SOU (H),0.64,GK,2
34,TOT (A),-0.35,GK,5
35,TOT (H),-0.23,GK,5
36,WHU (A),0.13,GK,3
37,WHU (H),-0.04,GK,3
38,WOL (A),-0.06,GK,4
39,WOL (H),0.06,GK,3
0,ARS (A),-0.39,DEF,5
1,ARS (H),0.02,DEF,3
2,AVL (A),0.08,DEF,3
3,AVL (H),-0.3,DEF,5
4,BHA (A),-0.14,DEF,4
5,BHA (H),-0.51,DEF,5
6,BOU (A),0.02,DEF,3
7,BOU (H),0.41,DEF,2
8,BRE (A),-0.53,DEF,5
9,BRE (H),0.34,DEF,2
10,CHE (A),-0.12,DEF,4
11,CHE (H),-0.57,DEF,5
12,CRY (A),0.89,DEF,2
13,CRY (H),-0.02,DEF,3
14,EVE (A),0.52,DEF,2
15,EVE (H),0.58,DEF,2
16,FUL (A),-0.25,DEF,5
17,FUL (H),-0.05,DEF,4
18,IPS (A),0.3,DEF,2
19,IPS (H),-0.17,DEF,4
20,LEI (A),-0.14,DEF,4
21,LEI (H),0.04,DEF,3
22,LIV (A),-0.12,DEF,4
23,LIV (H),-0.38,DEF,5
24,MCI (A),-0.01,DEF,3
25,MCI (H),-0.36,DEF,5
26,MUN (A),0.14,DEF,3
27,MUN (H),0.25,DEF,2
28,NEW (A),0.34,DEF,2
29,NEW (H),-0.05,DEF,4
30,NFO (A),-0.14,DEF,4
31,NFO (H),-0.19,DEF,4
32,SOU (A),0.43,DEF,2
33,SOU (H),0.64,DEF,2
34,TOT (A),-0.35,DEF,5
35,TOT (H),-0.23,DEF,5
36,WHU (A),0.13,DEF,3
37,WHU (H),-0.04,DEF,3
38,WOL (A),-0.06,DEF,4
39,WOL (H),0.06,DEF,3
0,ARS (A),-0.31,MID,5
1,ARS (H),-0.19,MID,5
2,AVL (A),-0.1,MID,4
3,AVL (H),0.09,MID,3
4,BHA (A),-0.07,MID,4
5,BHA (H),-0.04,MID,4
6,BOU (A),-0.2,MID,5
7,BOU (H),0.23,MID,2
8,BRE (A),0.02,MID,3
9,BRE (H),0.23,MID,2
10,CHE (A),0.03,MID,3
11,CHE (H),-0.22,MID,5
12,CRY (A),0.03,MID,3
13,CRY (H),0.2,MID,2
14,EVE (A),-0.05,MID,4
15,EVE (H),0.05,MID,3
16,FUL (A),0.14,MID,2
17,FUL (H),-0.31,MID,5
18,IPS (A),0.13,MID,2
19,IPS (H),0.53,MID,2
20,LEI (A),-0.05,MID,4
21,LEI (H),0.35,MID,2
22,LIV (A),-0.48,MID,5
23,LIV (H),-0.34,MID,5
24,MCI (A),-0.14,MID,4
25,MCI (H),-0.28,MID,5
26,MUN (A),0.06,MID,3
27,MUN (H),-0.19,MID,5
28,NEW (A),-0.24,MID,5
29,NEW (H),0.04,MID,3
30,NFO (A),-0.08,MID,4
31,NFO (H),-0.1,MID,4
32,SOU (A),-0.0,MID,3
33,SOU (H),0.59,MID,2
34,TOT (A),-0.11,MID,4
35,TOT (H),-0.03,MID,4
36,WHU (A),0.11,MID,3
37,WHU (H),0.11,MID,3
38,WOL (A),0.11,MID,3
39,WOL (H),0.33,MID,2
0,ARS (A),-0.31,FWD,5
1,ARS (H),-0.19,FWD,5
2,AVL (A),-0.1,FWD,4
3,AVL (H),0.09,FWD,3
4,BHA (A),-0.07,FWD,4
5,BHA (H),-0.04,FWD,4
6,BOU (A),-0.2,FWD,5
7,BOU (H),0.23,FWD,2
8,BRE (A),0.02,FWD,3
9,BRE (H),0.23,FWD,2
10,CHE (A),0.03,FWD,3
11,CHE (H),-0.22,FWD,5
12,CRY (A),0.03,FWD,3
13,CRY (H),0.2,FWD,2
14,EVE (A),-0.05,FWD,4
15,EVE (H),0.05,FWD,3
16,FUL (A),0.14,FWD,2
17,FUL (H),-0.31,FWD,5
18,IPS (A),0.13,FWD,2
19,IPS (H),0.53,FWD,2
20,LEI (A),-0.05,FWD,4
21,LEI (H),0.35,FWD,2
22,LIV (A),-0.48,FWD,5
23,LIV (H),-0.34,FWD,5
24,MCI (A),-0.14,FWD,4
25,MCI (H),-0.28,FWD,5
26,MUN (A),0.06,FWD,3
27,MUN (H),-0.19,FWD,5
28,NEW (A),-0.24,FWD,5
29,NEW (H),0.04,FWD,3
30,NFO (A),-0.08,FWD,4
31,NFO (H),-0.1,FWD,4
32,SOU (A),-0.0,FWD,3
33,SOU (H),0.59,FWD,2
34,TOT (A),-0.11,FWD,4
35,TOT (H),-0.03,FWD,4
36,WHU (A),0.11,FWD,3
37,WHU (H),0.11,FWD,3
38,WOL (A),0.11,FWD,3
39,WOL (H),0.33,FWD,2
