,Player ID,Name,Last_Name,Team,Position,Cost_Today,Total Points,Form,Points/Game,xGi,xGc,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Transfers Out GW,Transfers in GW,Influence,Creativity,Threat,ICT Index,GW1,GW2,GW3,GW4,GW5,GW6,CGW,NGW,NGW2,NGW3,NGW4,NGW5,Diff_Score_1_GW,Diff_Score_2_GW,Diff_Score_3_GW,Diff_Score_4_GW,Diff_Score_5_GW,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5,Initial Cost
0,1,Fabio,Vieira,Arsenal,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,0,0,0,0,0,55
1,2,Gabriel,Jesus,Arsenal,FWD,69,0,0,0,0,2.7,1.9,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0.2,0.8,0,0.1,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,0,0,0,0,0,70
2,4,Kai,Havertz,Arsenal,FWD,81,12,12,12,0.49,0.47,16.2,1,1,1,12,0,48,0,90,0,0,0,0,0,0,0,54.8,24.1,46,12.5,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,6,2,1.5,1,0.7059,80
3,5,Karl,Hein,Arsenal,GK,40,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,0,0,0,0,0,40
4,6,Jurriën,Timber,Arsenal,DEF,55,1,1,1,0.13,0.64,0.8,0,0,0,1,0,2,0,21,0,0,0,0,0,0,0,0,0.8,8,0.8,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,0.5,0.1667,0.125,0.0833,0.0588,55
5,7,Jorginho,Jorginho,Arsenal,MID,50,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,0,0,0,0,0,50
6,8,Jakub,Kiwior,Arsenal,DEF,50,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,0,0,0,0,0,50
7,9,Gabriel,Martinelli,Arsenal,MID,70,3,3,3,0.27,0.47,2.9,0,0,1,3,0,16,0,90,0,0,0,0,0,0,0,13.6,36.7,25,7.5,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,1.5,0.5,0.375,0.25,0.1765,70
8,10,Reiss,Nelson,Arsenal,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,0,0,0,0,0,50
9,11,Eddie,Nketiah,Arsenal,FWD,60,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WOL (H),AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),2,4,2,4,5,2,2,6,8,12,17,0,0,0,0,0,60
