,Player ID,Name,Last_Name,Team,Position,Cost_Today,Total Points,Form,xGi,xGc,Points/Game,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Transfers Out GW,Transfers in GW,Influence,Creativity,Threat,ICT Index,GW2,GW3,GW4,GW5,GW6,GW7,CGW,NGW,NGW2,NGW3,NGW4,NGW5,Diff_Score_1_GW,Diff_Score_2_GW,Diff_Score_3_GW,Diff_Score_4_GW,Diff_Score_5_GW,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5
0,2,Gabriel,G.Jesus,Arsenal,FWD,70,0,0,0,0,0,na,0,0,0,0,0,1,0,5,1,0,0,0,0,66145,12170,0.2,0.8,0,0.1,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,0,0,0,0,0
2,3,Gabriel,Gabriel,Arsenal,DEF,60,12,6,0.02,1.28,6,na,0,0,2,12,1,47,0,180,1,0,0,0,0,61907,36723,35.2,3.3,8,4.6,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,4.5,3,1.8,1.2,1.0588
4,4,Kai,Havertz,Arsenal,FWD,80,14,7,0.24,1.28,7,na,1,1,2,14,3,46,0,180,0,0,0,0,0,65128,350954,54.8,30.2,61,14.5,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,6.5,4.3333,2.6,1.7333,1.5294
6,5,Karl,Hein,Arsenal,GK,40,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,0,0,0,0,0,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,0,0,0,0,0
8,6,Jurriën,J.Timber,Arsenal,DEF,55,7,3.5,0.01,1.12,3.5,na,0,0,1,7,0,26,0,99,0,0,0,0,0,11982,4299,3.4,5.5,10,1.8,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,2,1.3333,0.8,0.5333,0.4706
10,7,Jorge Luiz,Jorginho,Arsenal,MID,50,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,6764,2615,0,0,0,0,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,0,0,0,0,0
12,8,Jakub,Kiwior,Arsenal,DEF,50,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,3950,708,0,0,0,0,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,0,0,0,0,0
14,9,Gabriel,Martinelli,Arsenal,MID,70,6,3,0.41,1.12,3,na,0,0,2,6,0,25,0,154,0,0,0,0,0,33930,21172,20,63,35,11.8,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,2.25,1.5,0.9,0.6,0.5294
16,12,Ethan,Nwaneri,Arsenal,MID,45,0,0,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,2918,2466,0,0,0,0,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,0,0,0,0,0
18,13,Martin,Ødegaard,Arsenal,MID,85,5,2.5,0.86,1.28,2.5,na,0,0,2,5,0,20,0,180,1,0,0,0,0,156689,28847,24.4,58.2,35,11.8,AVL (A),BHA (H),TOT (A),MCI (A),LEI (H),SOU (H),4,2,4,5,2,2,4,6,10,15,17,2,1.3333,0.8,0.5333,0.4706
