Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Opponent,Difficulty
1,Fábio,Fábio Vieira,Arsenal,MID,54,0,0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,11,16,EVE (H),2
2,Gabriel,G.Jesus,Arsenal,FWD,68,1,21,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,13.0,1.2,0.15,0.02,0.17,0.00,1732,2587,16,EVE (H),2
3,Gabriel,Gabriel,Arsenal,DEF,62,9,90,2024-12-14T15:00:00Z,0,0,1,0,0,0,0,0,0,3,34,26.6,16.5,8.0,5.1,0.00,0.04,0.04,0.09,55731,322185,16,EVE (H),2
4,Kai,Havertz,Arsenal,FWD,79,2,90,2024-12-14T15:00:00Z,0,0,1,0,0,0,0,0,0,0,8,7.0,26.0,23.0,5.6,0.06,0.09,0.15,0.09,65418,47793,16,EVE (H),2
5,Karl,Hein,Arsenal,GK,40,0,0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,76,16,EVE (H),2
6,Jurriën,J.Timber,Arsenal,DEF,57,6,90,2024-12-14T15:00:00Z,0,0,1,0,0,0,0,0,0,0,20,11.0,6.4,14.0,3.1,0.00,0.31,0.31,0.09,215861,20170,16,EVE (H),2
7,Jorge Luiz,Jorginho,Arsenal,MID,47,1,28,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,9,3.6,4.5,0.0,0.8,0.00,0.02,0.02,0.00,1388,933,16,EVE (H),2
8,Jakub,Kiwior,Arsenal,DEF,48,0,0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,9785,1083,16,EVE (H),2
9,Gabriel,Martinelli,Arsenal,MID,67,3,73,2024-12-14T15:00:00Z,0,0,1,0,0,0,0,0,0,0,5,8.4,28.5,30.0,6.7,0.12,0.10,0.22,0.09,12644,32433,16,EVE (H),2
12,Ethan,Nwaneri,Arsenal,MID,45,1,28,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,1,0.6,1.4,0.0,0.2,0.00,0.01,0.01,0.00,4712,4350,16,EVE (H),2
13,Martin,Ødegaard,Arsenal,MID,83,3,61,2024-12-14T15:00:00Z,0,0,1,0,0,0,0,0,0,0,4,5.2,10.3,28.0,4.4,0.42,0.06,0.48,0.09,55270,44911,16,EVE (H),2
15,David,Raya,Arsenal,GK,56,6,90,2024-12-14T15:00:00Z,0,0,1,0,0,0,0,0,0,0,21,4.2,0.0,0.0,0.4,0.00,0.00,0.00,0.09,157889,44020,16,EVE (H),2
16,Declan,Rice,Arsenal,MID,62,3,61,2024-12-14T15:00:00Z,0,0,1,0,0,0,0,0,0,0,16,12.0,16.8,2.0,3.1,0.03,0.06,0.09,0.09,10773,7403,16,EVE (H),2
17,Bukayo,Saka,Arsenal,MID,106,3,90,2024-12-14T15:00:00Z,0,0,1,0,0,0,0,0,0,0,23,22.8,49.2,41.0,11.3,0.33,0.56,0.89,0.09,303405,78676,16,EVE (H),2
18,William,Saliba,Arsenal,DEF,62,6,90,2024-12-14T15:00:00Z,0,0,1,0,0,0,0,0,0,0,26,24.4,2.6,6.0,3.3,0.00,0.04,0.04,0.09,494228,20944,16,EVE (H),2
20,Thomas,Thomas,Arsenal,MID,50,1,21,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,12,7.0,2.2,2.0,1.1,0.00,0.02,0.02,0.00,5379,5495,16,EVE (H),2
21,Kieran,Tierney,Arsenal,DEF,43,0,0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,434,174,16,EVE (H),2
22,Tomiyasu,Tomiyasu,Arsenal,DEF,48,0,0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,24,77,16,EVE (H),2
23,Leandro,Trossard,Arsenal,MID,68,1,16,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,4,6.6,19.2,0.0,2.6,0.00,0.17,0.17,0.00,10975,13929,16,EVE (H),2
24,Benjamin,White,Arsenal,DEF,61,0,0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,168,14079,16,EVE (H),2
25,Oleksandr,Zinchenko,Arsenal,DEF,48,0,0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,1164,6206,16,EVE (H),2
73,Norberto,Neto,Arsenal,GK,42,0,0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,502,3501,16,EVE (H),2
186,Raheem,Sterling,Arsenal,MID,67,0,0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,393,1397,16,EVE (H),2
578,Riccardo,Calafiori,Arsenal,DEF,58,0,0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,387,12721,16,EVE (H),2
597,Myles,Lewis-Skelly,Arsenal,MID,45,3,68,2024-12-14T15:00:00Z,0,0,1,0,0,0,0,0,0,0,15,8.4,15.8,0.0,2.4,0.00,0.06,0.06,0.09,424,271,16,EVE (H),2
633,Mikel,Merino,Arsenal,MID,60,3,68,2024-12-14T15:00:00Z,0,0,1,0,0,0,0,0,0,0,12,14.6,27.7,41.0,8.3,0.11,0.17,0.28,0.09,464,900,16,EVE (H),2
638,Salah-Eddine,Oulad M'hand,Arsenal,MID,45,0,0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,43,51,16,EVE (H),2
639,Tommy,Setford,Arsenal,GK,45,0,0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,147,183,16,EVE (H),2
657,Maldini,Kacurri,Arsenal,DEF,40,0,0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,330,376,16,EVE (H),2
658,Ayden,Heaven,Arsenal,DEF,40,0,0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,214,270,16,EVE (H),2
659,Ismeal,Kabia,Arsenal,MID,45,0,0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,81,111,16,EVE (H),2
662,Josh,Nichols,Arsenal,DEF,40,0,0,2024-12-14T15:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,221,201,16,EVE (H),2
28,Leon,Bailey,Aston Villa,MID,62,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,380,12681,16,NFO (A),2
29,Ross,Barkley,Aston Villa,MID,52,1,1,2024-12-14T17:30:00Z,0,0,0,1,0,0,0,0,0,0,2,0.8,1.1,0.0,0.2,0.00,0.01,0.01,0.24,1001,1493,16,NFO (A),2
30,Enzo,Barrenechea,Aston Villa,MID,49,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,24,16,NFO (A),2
31,Emiliano,Buendia,Aston Villa,MID,52,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,88,365,16,NFO (A),2
32,Matty,Cash,Aston Villa,DEF,44,1,90,2024-12-14T17:30:00Z,0,0,0,2,0,0,0,0,0,0,-3,11.2,13.2,33.0,5.7,0.03,0.42,0.45,1.78,6026,16731,16,NFO (A),2
33,Leander,Dendoncker,Aston Villa,MID,45,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,810,16,NFO (A),2
34,Moussa,Diaby,Aston Villa,MID,65,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,11,16,NFO (A),2
35,Diego Carlos,Diego Carlos,Aston Villa,DEF,45,1,90,2024-12-14T17:30:00Z,0,0,0,2,0,0,0,0,0,0,9,25.6,0.8,0.0,2.6,0.00,0.02,0.02,1.78,4071,1683,16,NFO (A),2
36,Lucas,Digne,Aston Villa,DEF,47,2,90,2024-12-14T17:30:00Z,0,0,0,1,0,0,0,0,0,0,5,4.8,4.5,2.0,1.1,0.00,0.04,0.04,1.54,18379,104533,16,NFO (A),2
37,Lewis,Dobbin,Aston Villa,MID,50,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,3,16,NFO (A),2
38,Jhon,Duran,Aston Villa,FWD,58,5,73,2024-12-14T17:30:00Z,1,0,1,0,0,0,1,0,0,0,21,23.2,2.7,30.0,5.6,0.08,0.01,0.09,0.98,31939,12199,16,NFO (A),2
39,Joe,Gauci,Aston Villa,GK,40,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,440,1677,16,NFO (A),2
40,Kortney,Hause,Aston Villa,DEF,40,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,540,1384,16,NFO (A),2
41,Samuel,Iling Jr,Aston Villa,MID,54,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,18,16,NFO (A),2
42,Boubacar,Kamara,Aston Villa,MID,50,2,90,2024-12-14T17:30:00Z,0,0,0,1,0,0,0,0,0,0,16,16.2,6.3,0.0,2.3,0.00,0.02,0.02,1.54,365,266,16,NFO (A),2
43,Kaine,Kesler-Hayden,Aston Villa,DEF,40,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,24,16,NFO (A),2
44,Ezri,Konsa,Aston Villa,DEF,44,1,90,2024-12-14T17:30:00Z,0,0,0,2,0,0,0,0,0,0,8,14.4,1.8,14.0,3.0,0.24,0.01,0.25,1.78,29717,23247,16,NFO (A),2
45,Ian,Maatsen,Aston Villa,DEF,46,1,1,2024-12-14T17:30:00Z,0,0,0,1,0,0,0,0,0,0,-1,0.2,0.6,0.0,0.1,0.00,0.00,0.00,0.24,1559,4785,16,NFO (A),2
46,Filip,Marschall,Aston Villa,GK,40,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,2,16,NFO (A),2
47,Emiliano,Martinez,Aston Villa,GK,50,2,90,2024-12-14T17:30:00Z,0,0,0,2,0,0,0,0,4,0,11,32.6,0.0,0.0,3.3,0.00,0.00,0.00,1.78,42199,41893,16,NFO (A),2
48,John,McGinn,Aston Villa,MID,52,6,90,2024-12-14T17:30:00Z,0,1,0,2,0,0,0,0,0,1,27,32.4,58.5,14.0,10.5,0.05,0.37,0.42,1.78,3048,3872,16,NFO (A),2
49,Tyrone,Mings,Aston Villa,DEF,44,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,691,1325,16,NFO (A),2
50,Kosta,Nedeljkovic,Aston Villa,DEF,40,0,0,2024-12-14T17:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,482,4335,16,NFO (A),2
