,Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Opponent,Difficulty
1,1,Fábio,Fábio Vieira,Arsenal,MID,55,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,84,874,2,AVL (A),4
6,2,Gabriel,G.Jesus,Arsenal,FWD,69,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,12170,66145,2,AVL (A),4
11,3,Gabriel,Gabriel,Arsenal,DEF,60,6,90,2024-08-24T16:30:00Z,0,0,1,0,0,0,1,0,0,1,25,21.4,1.9,0.0,2.3,0.00,0.02,0.02,1.28,36723,61907,2,AVL (A),4
16,4,Kai,Havertz,Arsenal,FWD,81,2,90,2024-08-24T16:30:00Z,0,0,1,0,0,0,0,0,0,0,-2,0.0,6.1,15.0,2.0,0.21,0.03,0.24,1.28,350954,65128,2,AVL (A),4
21,5,Karl,Hein,Arsenal,GK,40,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0,1230,2,AVL (A),4
26,6,Jurriën,J.Timber,Arsenal,DEF,55,6,78,2024-08-24T16:30:00Z,0,0,1,0,0,0,0,0,0,0,24,3.4,4.7,2.0,1.0,0.00,0.01,0.01,1.12,4299,11982,2,AVL (A),4
31,7,Jorge Luiz,Jorginho,Arsenal,MID,50,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,2615,6764,2,AVL (A),4
36,8,Jakub,Kiwior,Arsenal,DEF,50,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,708,3950,2,AVL (A),4
41,9,Gabriel,Martinelli,Arsenal,MID,70,3,64,2024-08-24T16:30:00Z,0,0,1,0,0,0,0,0,0,0,9,6.4,26.3,10.0,4.3,0.00,0.41,0.41,1.12,21172,33930,2,AVL (A),4
46,12,Ethan,Nwaneri,Arsenal,MID,45,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,2466,2918,2,AVL (A),4
51,13,Martin,Ødegaard,Arsenal,MID,85,2,90,2024-08-24T16:30:00Z,0,0,1,0,0,0,1,0,0,0,4,9.4,34.2,20.0,6.4,0.26,0.60,0.86,1.28,28847,156689,2,AVL (A),4
56,15,David,Raya,Arsenal,GK,55,10,90,2024-08-24T16:30:00Z,0,0,1,0,0,0,0,0,3,3,27,28.2,0.0,0.0,2.8,0.00,0.00,0.00,1.28,71675,88278,2,AVL (A),4
61,16,Declan,Rice,Arsenal,MID,65,2,90,2024-08-24T16:30:00Z,0,0,1,0,0,0,1,0,0,0,18,18.8,12.3,21.0,5.2,0.07,0.11,0.18,1.28,25416,69713,2,AVL (A),4
66,17,Bukayo,Saka,Arsenal,MID,100,6,87,2024-08-24T16:30:00Z,0,1,1,0,0,0,0,0,0,0,21,27.8,27.4,27.0,8.2,0.05,0.10,0.15,1.25,240288,98346,2,AVL (A),4
71,18,William,Saliba,Arsenal,DEF,60,6,90,2024-08-24T16:30:00Z,0,0,1,0,0,0,0,0,0,0,24,23.8,1.2,0.0,2.5,0.00,0.01,0.01,1.28,71155,125546,2,AVL (A),4
76,20,Thomas,Thomas,Arsenal,MID,50,11,90,2024-08-24T16:30:00Z,1,0,1,0,0,0,0,0,0,3,27,39.4,7.5,8.0,5.5,0.10,0.08,0.18,1.28,4346,2072,2,AVL (A),4
81,21,Kieran,Tierney,Arsenal,DEF,45,0,0,2024-08-24T16:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,52,1784,2,AVL (A),4
