Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Minutes,KO_time,Goals,Assists,Clean Sheets,Goals Conceded,Penalties Saved,Penalties Missed,YC,RC,Saves,Total Bonus Points,Total BPS,Influence,Creativity,Threat,ICT Index,xG,xA,xGi,xGc,Transfers In GW,Transfers Out GW,Gameweek,Avail,Opponent,Difficulty
1,Fábio,Fábio Vieira,Arsenal,MID,54,0,0,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,u,IPS (A),2
2,Gabriel,G.Jesus,Arsenal,FWD,65,0,0,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,807,33,i,IPS (A),2
3,Gabriel,Gabriel,Arsenal,DEF,62,0,0,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,324016,33,i,IPS (A),2
4,Kai,Havertz,Arsenal,FWD,77,0,0,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,3460,33,i,IPS (A),2
5,Karl,Hein,Arsenal,GK,40,0,0,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,33,u,IPS (A),2
6,Jurriën,J.Timber,Arsenal,DEF,57,0,0,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217320,28494,33,a,IPS (A),2
7,Jorge Luiz,Jorginho,Arsenal,MID,46,0,0,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,463,33,d,IPS (A),2
8,Jakub,Kiwior,Arsenal,DEF,48,6,90,2025-04-20T13:00:00Z,0,0,1,0,0,0,0,0,0,0,28,10.8,5,2,1.8,0,0.02,0.02,0.17,188572,3166,33,a,IPS (A),2
9,Gabriel,Martinelli,Arsenal,MID,65,8,72,2025-04-20T13:00:00Z,1,0,1,0,0,0,0,0,0,0,27,32.4,4.8,42,7.9,0.67,0.02,0.69,0.13,89003,5451,33,a,IPS (A),2
12,Ethan,Nwaneri,Arsenal,MID,45,6,33,2025-04-20T13:00:00Z,1,0,0,0,0,0,0,0,0,0,25,36.2,8.6,24,6.9,0.16,0.06,0.22,0.08,13085,32712,33,a,IPS (A),2
13,Martin,Ødegaard,Arsenal,MID,82,6,90,2025-04-20T13:00:00Z,0,1,1,0,0,0,0,0,0,0,29,40.6,76,55,17.2,0.09,0.48,0.57,0.17,45269,19912,33,a,IPS (A),2
15,David,Raya,Arsenal,GK,56,6,90,2025-04-20T13:00:00Z,0,0,1,0,0,0,0,0,0,0,28,5.8,0,0,0.6,0,0,0,0.17,280297,23096,33,a,IPS (A),2
16,Declan,Rice,Arsenal,MID,62,7,72,2025-04-20T13:00:00Z,0,1,1,0,0,0,0,0,0,1,31,35.6,41.3,8,8.5,0,0.16,0.16,0.13,99245,6019,33,a,IPS (A),2
17,Bukayo,Saka,Arsenal,MID,105,1,56,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,0,0,9,3.6,60.3,28,9.2,0.52,0.87,1.39,0.09,816721,36314,33,a,IPS (A),2
18,William,Saliba,Arsenal,DEF,66,6,90,2025-04-20T13:00:00Z,0,0,1,0,0,0,0,0,0,0,26,20.2,4.4,0,2.5,0,0.04,0.04,0.17,415473,26730,33,a,IPS (A),2
20,Thomas,Thomas,Arsenal,MID,49,0,0,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9584,1840,33,a,IPS (A),2
21,Kieran,Tierney,Arsenal,DEF,43,1,17,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,0,0,3,0.2,1.7,0,0.2,0,0,0,0.04,8384,541,33,a,IPS (A),2
22,Tomiyasu,Tomiyasu,Arsenal,DEF,48,0,0,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,33,i,IPS (A),2
23,Leandro,Trossard,Arsenal,MID,67,16,83,2025-04-20T13:00:00Z,2,0,1,0,0,0,0,0,0,3,47,65,14.8,54,13.4,0.38,0.26,0.64,0.13,135131,18097,33,a,IPS (A),2
24,Benjamin,White,Arsenal,DEF,61,6,90,2025-04-20T13:00:00Z,0,0,1,0,0,0,0,0,0,0,27,21.4,39.5,15,7.6,0.02,0.1,0.12,0.17,7508,3952,33,a,IPS (A),2
25,Oleksandr,Zinchenko,Arsenal,DEF,48,11,90,2025-04-20T13:00:00Z,0,1,1,0,0,0,0,0,0,2,32,28.2,21.2,10,5.9,0.1,0.11,0.21,0.17,7651,769,33,a,IPS (A),2
73,Norberto,Neto,Arsenal,GK,41,0,0,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,1433,33,n,IPS (A),2
186,Raheem,Sterling,Arsenal,MID,67,1,17,2025-04-20T13:00:00Z,0,0,0,0,0,0,0,0,0,0,2,1.4,12.8,4,1.8,0,0.06,0.06,0.04,520,477,33,a,IPS (A),2
