,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,54.6,18,198,1620,18,34,28,61,31,2,2,39,3,30.7,27.8,22.3,50.1,352,770,1.94,1.59,3.53,1.82,3.41,1.72,1.31,3.03,1.64,2.94
1,Aston Villa,49.4,18,198,1620,18,25,20,45,24,1,2,42,2,27.4,25.9,20.3,46.1,319,605,1.39,1.11,2.5,1.33,2.44,1.52,1.13,2.65,1.44,2.56
2,Bournemouth,45.4,18,198,1620,18,27,18,45,22,5,6,43,0,35.4,30.7,24,54.7,337,736,1.5,1,2.5,1.22,2.22,1.97,1.34,3.3,1.7,3.04
3,Brentford,47.9,18,198,1620,18,32,20,52,30,2,2,28,1,28,24.5,19,43.6,258,643,1.88,1.18,3.06,1.76,2.94,1.54,1.12,2.66,1.44,2.56
4,Brighton,53.4,18,198,1620,18,26,17,43,26,0,0,37,1,24.5,23.9,16.8,40.7,376,734,1.53,1,2.53,1.53,2.53,1.4,0.99,2.4,1.4,2.4
5,Chelsea,57,18,198,1620,18,38,29,67,35,3,3,54,1,36.5,34.1,27,61.1,415,724,2.11,1.61,3.72,1.94,3.56,2.03,1.5,3.52,1.89,3.39
6,Crystal Palace,43.7,18,198,1620,18,17,14,31,16,1,1,43,1,23.9,23.1,19,42.1,254,600,0.94,0.78,1.72,0.89,1.67,1.33,1.06,2.38,1.28,2.34
7,Everton,38.7,17,187,1530,17,13,7,20,13,0,0,34,1,16.5,16.5,12.6,29.1,231,449,0.76,0.41,1.18,0.76,1.18,0.97,0.74,1.71,0.97,1.71
8,Fulham,51.3,18,198,1620,18,25,23,48,24,1,2,45,2,24.6,23,19.9,42.9,378,737,1.39,1.28,2.67,1.33,2.61,1.37,1.1,2.47,1.28,2.38
9,Ipswich Town,42.9,18,198,1620,17,15,12,27,15,0,0,46,2,16.2,15.9,12.4,28.3,239,450,0.88,0.71,1.59,0.88,1.59,0.94,0.73,1.67,0.94,1.67
10,Leicester City,45.8,18,198,1620,18,22,18,40,20,2,2,45,0,17.5,16.1,14.1,30.2,273,517,1.22,1,2.22,1.11,2.11,0.97,0.78,1.76,0.89,1.68
11,Liverpool,57.1,17,187,1530,17,40,31,71,36,4,4,39,1,38.2,35.1,27.7,62.8,357,799,2.35,1.82,4.18,2.12,3.94,2.25,1.63,3.88,2.07,3.69
12,Manchester City,62.5,18,198,1620,18,30,21,51,29,1,2,39,1,32.8,31.1,26.8,58,599,1007,1.67,1.17,2.83,1.61,2.78,1.82,1.49,3.31,1.73,3.22
13,Manchester Utd,53.9,18,198,1620,18,20,17,37,18,2,2,44,2,25.8,24.2,20.8,45,301,663,1.11,0.94,2.06,1,1.94,1.43,1.15,2.59,1.35,2.5
14,Newcastle Utd,51.2,18,198,1620,18,29,24,53,28,1,2,38,1,30.3,28.7,23.6,52.3,336,745,1.61,1.33,2.94,1.56,2.89,1.68,1.31,2.99,1.59,2.91
15,Nott'ham Forest,40.1,18,198,1620,18,24,15,39,22,2,2,46,2,21.7,20.2,15.1,35.2,324,505,1.33,0.83,2.17,1.22,2.06,1.21,0.84,2.05,1.12,1.96
16,Southampton,52.5,18,198,1620,18,11,7,18,11,0,2,53,3,18.5,16.8,14.3,31.1,338,581,0.61,0.39,1,0.61,1,1.03,0.79,1.82,0.93,1.73
17,Tottenham,58.5,18,198,1620,18,37,30,67,37,0,0,40,1,32.7,32.7,26,58.7,451,886,2.06,1.67,3.72,2.06,3.72,1.82,1.44,3.26,1.82,3.26
18,West Ham,46.9,18,198,1620,18,22,12,34,19,3,3,46,2,26.4,24.1,17.6,41.7,316,601,1.22,0.67,1.89,1.06,1.72,1.47,0.98,2.45,1.34,2.32
19,Wolves,46.9,18,198,1620,18,29,25,54,29,0,0,44,1,18.7,18.7,16.1,34.8,265,520,1.61,1.39,3,1.61,3,1.04,0.89,1.94,1.04,1.94
