,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,45.4,18,198,1620,18,16,12,28,15,1,1,49,0,16,15,10.6,25.6,308,455,0.94,0.71,1.65,0.88,1.59,0.93,0.62,1.55,0.88,1.51
1,vs Aston Villa,50.6,18,198,1620,18,29,19,48,28,1,2,52,1,22.9,21.3,16,37.2,346,636,1.61,1.06,2.67,1.56,2.61,1.27,0.89,2.16,1.18,2.07
2,vs Bournemouth,54.6,18,198,1620,18,21,16,37,20,1,1,52,2,22.7,21.9,17.8,39.7,326,644,1.17,0.89,2.06,1.11,2,1.26,0.99,2.25,1.22,2.21
3,vs Brentford,52.1,18,198,1620,18,31,25,56,30,1,1,40,2,29.5,27.7,21.6,49.3,403,738,1.82,1.47,3.29,1.76,3.24,1.68,1.27,2.94,1.63,2.9
4,vs Brighton,46.6,18,198,1620,18,25,16,41,23,2,2,46,3,28,25.2,21.5,46.7,258,546,1.47,0.94,2.41,1.35,2.29,1.57,1.26,2.84,1.48,2.75
5,vs Chelsea,43,18,198,1620,18,21,15,36,18,3,4,55,2,26.1,22.9,19.1,42.1,284,579,1.17,0.83,2,1,1.83,1.45,1.06,2.51,1.27,2.34
6,vs Crystal Palace,56.3,18,198,1620,18,24,19,43,24,0,1,38,1,26,25.2,20.4,45.5,338,751,1.33,1.06,2.39,1.33,2.39,1.44,1.13,2.57,1.4,2.53
7,vs Everton,61.3,17,187,1530,17,22,19,41,22,0,2,16,1,23.4,21.7,18.4,40.1,325,762,1.29,1.12,2.41,1.29,2.41,1.37,1.08,2.46,1.28,2.36
8,vs Fulham,48.7,18,198,1620,18,22,21,43,22,0,0,32,3,21.5,21.5,17.1,38.6,306,664,1.22,1.17,2.39,1.22,2.39,1.19,0.95,2.14,1.19,2.14
9,vs Ipswich Town,57.1,18,198,1620,18,33,21,54,29,3,3,27,1,36.5,32.7,26.2,58.9,358,700,1.88,1.18,3.06,1.71,2.88,2.06,1.54,3.6,1.92,3.46
10,vs Leicester City,54.2,18,198,1620,18,38,29,67,37,1,1,41,2,36.6,35.8,27.1,62.9,362,915,2.11,1.61,3.72,2.06,3.67,2.03,1.51,3.54,1.99,3.49
11,vs Liverpool,42.9,17,187,1530,17,17,14,31,17,0,1,48,0,16.3,15.4,12.4,27.8,270,514,1,0.82,1.82,1,1.82,0.96,0.73,1.69,0.91,1.64
12,vs Manchester City,37.5,18,198,1620,18,25,19,44,22,3,3,47,1,25.6,23.3,19.2,42.5,265,395,1.39,1.06,2.44,1.22,2.28,1.42,1.07,2.49,1.29,2.36
13,vs Manchester Utd,46.1,18,198,1620,18,24,18,42,22,2,3,35,1,25.2,22.9,19.2,42.1,315,556,1.33,1,2.33,1.22,2.22,1.4,1.07,2.47,1.27,2.34
14,vs Newcastle Utd,48.8,18,198,1620,18,20,19,39,20,0,0,54,1,21.7,21.7,17,38.7,329,634,1.11,1.06,2.17,1.11,2.17,1.2,0.95,2.15,1.2,2.15
15,vs Nott'ham Forest,59.9,18,198,1620,18,19,14,33,18,1,1,56,2,18.9,18.1,14.3,32.4,471,940,1.06,0.78,1.83,1,1.78,1.05,0.8,1.85,1,1.8
16,vs Southampton,47.5,18,198,1620,18,37,26,63,35,2,2,37,1,39.6,38.2,30.9,69.1,382,733,2.06,1.44,3.5,1.94,3.39,2.2,1.72,3.92,2.12,3.84
17,vs Tottenham,41.5,18,198,1620,18,26,16,42,24,2,2,44,3,30.4,28.9,21.4,50.2,284,562,1.44,0.89,2.33,1.33,2.22,1.69,1.19,2.88,1.6,2.79
18,vs West Ham,53.1,18,198,1620,18,29,23,52,27,2,2,28,0,31,29.5,25.2,54.6,397,776,1.61,1.28,2.89,1.5,2.78,1.72,1.4,3.12,1.64,3.03
19,vs Wolves,53.1,18,198,1620,18,37,27,64,32,5,5,48,1,28.4,24.5,20.1,44.6,392,772,2.06,1.5,3.56,1.78,3.28,1.58,1.12,2.7,1.36,2.48
