,Team,Per 90 MinutesxG+xAG,PerformanceG+A
0,vs Arsenal,2.05,4
1,vs Aston Villa,1.65,10
2,vs Bournemouth,2.77,15
3,vs Brentford,3.82,14
4,vs Brighton,2.08,7
5,vs Chelsea,1.98,8
6,vs Crystal Palace,2.79,12
7,vs Everton,3.21,25
8,vs Fulham,2.03,10
9,vs Ipswich Town,3.79,13
10,vs Leicester City,2.86,15
11,vs Liverpool,1.47,2
12,vs Manchester City,1.28,7
13,vs Manchester Utd,2.27,10
14,vs Newcastle Utd,3.17,10
15,vs Nott'ham Forest,1.32,6
16,vs Southampton,3.47,14
17,vs Tottenham,2.07,10
18,vs West Ham,3.82,18
19,vs Wolves,2.76,27
