,Team,Per 90 MinutesxG+xAG,PerformanceG+A
0,vs Arsenal,1.67,1
1,vs Aston Villa,1.84,9
2,vs Bournemouth,2.49,9
3,vs Brentford,3.44,9
4,vs Brighton,2.03,4
5,vs Chelsea,2.13,8
6,vs Crystal Palace,2.75,12
7,vs Everton,3.76,24
8,vs Fulham,1.94,8
9,vs Ipswich Town,3.55,11
10,vs Leicester City,3.11,13
11,vs Liverpool,1.35,2
12,vs Manchester City,1.28,3
13,vs Manchester Utd,2.39,10
14,vs Newcastle Utd,2.91,4
15,vs Nott'ham Forest,1.25,3
16,vs Southampton,3.52,13
17,vs Tottenham,2.19,8
18,vs West Ham,3.69,12
19,vs Wolves,2.62,21
