Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,55.9,1,297,2430,27.0,0,0,87,47,2,2,56,5,0.0,40.7,0.0,73.1,579,1297,1.81,1.41,3.22,1.74,3.15,1.56,1.2,2.76,1.51,2.71
1,Aston Villa,51.8,1,308,2520,28.0,0,0,69,37,2,3,56,2,0.0,37.5,0.0,66.9,540,988,1.39,1.07,2.46,1.32,2.39,1.42,1.05,2.47,1.34,2.39
2,Bournemouth,46.9,1,297,2430,27.0,0,0,79,39,6,7,68,1,0.0,43.6,0.0,77.4,522,1067,1.67,1.26,2.93,1.44,2.7,1.82,1.25,3.07,1.62,2.87
3,Brentford,48.0,1,297,2430,27.0,0,0,79,44,4,4,38,1,0.0,39.9,0.0,71.4,440,996,1.78,1.15,2.93,1.63,2.78,1.6,1.16,2.76,1.48,2.64
4,Brighton,52.2,1,297,2430,27.0,0,0,72,41,2,2,57,1,0.0,38.5,0.0,66.9,581,1100,1.59,1.07,2.67,1.52,2.59,1.48,1.05,2.54,1.43,2.48
5,Chelsea,58.2,1,297,2430,27.0,0,0,90,48,3,3,77,1,0.0,51.5,0.0,93.3,627,1118,1.89,1.44,3.33,1.78,3.22,1.99,1.55,3.54,1.91,3.46
6,Crystal Palace,43.5,1,297,2430,27.0,0,0,59,31,2,2,54,1,0.0,39.3,0.0,70.6,354,862,1.22,0.96,2.19,1.15,2.11,1.52,1.16,2.67,1.46,2.61
7,Everton,40.5,1,297,2430,27.0,0,0,44,26,1,1,58,2,0.0,28.6,0.0,50.8,347,736,1.0,0.63,1.63,0.96,1.59,1.09,0.82,1.91,1.06,1.88
8,Fulham,52.7,1,297,2430,27.0,0,0,74,36,3,4,59,2,0.0,34.8,0.0,64.4,579,1135,1.44,1.3,2.74,1.33,2.63,1.41,1.1,2.5,1.29,2.38
9,Ipswich Town,40.8,1,297,2430,27.0,0,0,42,23,2,2,71,3,0.0,23.7,0.0,40.7,373,679,0.93,0.63,1.56,0.85,1.48,0.94,0.63,1.57,0.88,1.51
10,Leicester City,45.7,1,297,2430,27.0,0,0,45,23,2,2,62,0,0.0,23.1,0.0,42.6,442,789,0.93,0.74,1.67,0.85,1.59,0.91,0.72,1.63,0.86,1.58
11,Liverpool,56.6,1,308,2520,28.0,0,0,116,59,7,7,54,2,0.0,55.6,0.0,100.7,596,1361,2.36,1.79,4.14,2.11,3.89,2.18,1.61,3.79,1.99,3.6
12,Manchester City,60.4,1,297,2430,27.0,0,0,91,51,1,2,46,1,0.0,47.2,0.0,87.9,827,1396,1.93,1.44,3.37,1.89,3.33,1.81,1.51,3.32,1.75,3.26
13,Manchester Utd,53.6,1,297,2430,27.0,0,0,51,28,3,3,64,3,0.0,34.1,0.0,61.8,461,1018,1.15,0.74,1.89,1.04,1.78,1.35,1.03,2.38,1.26,2.29
14,Newcastle Utd,50.4,1,297,2430,27.0,0,0,79,42,3,4,51,1,0.0,41.7,0.0,75.2,515,1087,1.67,1.26,2.93,1.56,2.81,1.66,1.24,2.9,1.55,2.79
15,Nott'ham Forest,40.1,1,297,2430,27.0,0,0,73,40,3,3,60,2,0.0,32.0,0.0,56.5,453,778,1.59,1.11,2.7,1.48,2.59,1.27,0.91,2.18,1.18,2.09
16,Southampton,50.9,1,297,2430,27.0,0,0,30,18,0,2,74,3,0.0,23.5,0.0,42.9,479,849,0.67,0.44,1.11,0.67,1.11,0.94,0.72,1.65,0.87,1.59
17,Tottenham,57.1,1,297,2430,27.0,0,0,90,50,0,1,51,1,0.0,44.0,0.0,79.2,630,1227,1.85,1.48,3.33,1.85,3.33,1.66,1.3,2.96,1.63,2.94
18,West Ham,46.9,1,297,2430,27.0,0,0,47,27,3,3,61,3,0.0,32.8,0.0,57.6,439,871,1.11,0.63,1.74,1.0,1.63,1.3,0.92,2.22,1.21,2.13
19,Wolves,47.4,1,297,2430,27.0,0,0,68,37,0,0,61,2,0.0,30.5,0.0,55.4,425,848,1.37,1.15,2.52,1.37,2.52,1.13,0.92,2.05,1.13,2.05
