,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,48.9,7,77,630,7,14,11,25,14,0,0,21,2,12.8,12.8,9.4,22.2,142,294,2,1.57,3.57,2,3.57,1.83,1.34,3.17,1.83,3.17
1,Aston Villa,52.3,7,77,630,7,12,11,23,12,0,0,14,0,9.7,9.7,8.1,17.8,133,238,1.71,1.57,3.29,1.71,3.29,1.39,1.15,2.54,1.39,2.54
2,Bournemouth,44.3,7,77,630,7,8,7,15,8,0,1,19,0,12.1,11.3,9.7,21,119,291,1.14,1,2.14,1.14,2.14,1.73,1.38,3.11,1.61,2.99
3,Brentford,45.7,7,77,630,7,13,7,20,12,1,1,12,0,11.2,10.4,6.6,17,104,215,1.86,1,2.86,1.71,2.71,1.6,0.95,2.55,1.49,2.43
4,Brighton,58.6,7,77,630,7,13,8,21,13,0,0,15,0,10.8,10.8,7.2,18,166,361,1.86,1.14,3,1.86,3,1.54,1.03,2.57,1.54,2.57
5,Chelsea,55.7,7,77,630,7,16,13,29,15,1,1,27,0,14.1,13.3,12.2,25.5,154,264,2.29,1.86,4.14,2.14,4,2.02,1.74,3.75,1.9,3.64
6,Crystal Palace,48.6,7,77,630,7,4,2,6,3,1,1,15,0,8.1,7.3,6.2,13.5,98,270,0.57,0.29,0.86,0.43,0.71,1.16,0.88,2.04,1.05,1.93
7,Everton,37.3,7,77,630,7,7,5,12,7,0,0,12,1,6.8,6.8,5.5,12.2,79,188,1,0.71,1.71,1,1.71,0.97,0.78,1.75,0.97,1.75
8,Fulham,49.3,7,77,630,7,10,9,19,9,1,1,21,0,10.8,10,9,19,144,263,1.43,1.29,2.71,1.29,2.57,1.54,1.29,2.83,1.43,2.72
9,Ipswich Town,40.3,7,77,630,7,6,4,10,6,0,0,20,0,5,5,4.6,9.6,93,179,0.86,0.57,1.43,0.86,1.43,0.71,0.66,1.38,0.71,1.38
10,Leicester City,42.3,7,77,630,7,9,8,17,9,0,0,19,0,5.1,5.1,4.3,9.4,87,169,1.29,1.14,2.43,1.29,2.43,0.73,0.61,1.34,0.73,1.34
11,Liverpool,60,7,77,630,7,13,11,24,12,1,1,14,0,13.8,13,11.1,24,167,326,1.86,1.57,3.43,1.71,3.29,1.96,1.58,3.55,1.85,3.43
12,Manchester City,63.6,7,77,630,7,17,11,28,16,1,1,17,0,13.8,13,11.3,24.4,253,376,2.43,1.57,4,2.29,3.86,1.97,1.62,3.59,1.86,3.48
13,Manchester Utd,52.6,7,77,630,7,5,5,10,5,0,0,24,1,11,11,9.7,20.6,105,274,0.71,0.71,1.43,0.71,1.43,1.57,1.38,2.95,1.57,2.95
14,Newcastle Utd,48,7,77,630,7,8,7,15,7,1,2,17,1,10.4,8.8,7.9,16.6,119,250,1.14,1,2.14,1,2,1.48,1.12,2.6,1.25,2.38
15,Nott'ham Forest,39.7,7,77,630,7,7,4,11,6,1,1,23,2,8.1,7.3,5.5,12.8,123,184,1,0.57,1.57,0.86,1.43,1.15,0.78,1.93,1.04,1.82
16,Southampton,57.4,7,77,630,7,4,3,7,4,0,1,21,1,8.2,7.4,6.4,13.7,148,249,0.57,0.43,1,0.57,1,1.17,0.91,2.08,1.05,1.96
17,Tottenham,62.3,7,77,630,7,13,10,23,13,0,0,18,0,14.8,14.8,10.2,25,194,389,1.86,1.43,3.29,1.86,3.29,2.12,1.46,3.58,2.12,3.58
18,West Ham,45.9,7,77,630,7,9,4,13,8,1,1,16,0,10.5,9.7,6.2,16,135,248,1.29,0.57,1.86,1.14,1.71,1.5,0.89,2.4,1.39,2.28
19,Wolves,47.4,7,77,630,7,9,7,16,9,0,0,22,0,6.6,6.6,5,11.6,102,194,1.29,1,2.29,1.29,2.29,0.94,0.71,1.65,0.94,1.65
