Unnamed: 0,Team,Per 90 MinutesxG+xAG,PerformanceG+A
0,vs Arsenal,1.67,0
1,vs Aston Villa,1.84,3
2,vs Bournemouth,2.49,2
3,vs Brentford,3.44,3
4,vs Brighton,2.03,0
5,vs Chelsea,2.13,0
6,vs Crystal Palace,2.75,4
7,vs Everton,3.76,5
8,vs Fulham,1.94,2
9,vs Ipswich Town,3.55,0
10,vs Leicester City,3.11,3
11,vs Liverpool,1.35,2
12,vs Manchester City,1.28,1
13,vs Manchester Utd,2.39,0
14,vs Newcastle Utd,2.91,2
15,vs Nott'ham Forest,1.25,0
16,vs Southampton,3.52,6
17,vs Tottenham,2.19,2
18,vs West Ham,3.69,2
19,vs Wolves,2.62,4
