Gameweek,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Player_10,Player_11
5,Konaté,Haaland,Johnson,Son,Konsa,Bogarde,Mitoma,Welbeck,N.Jackson,Henderson,Saka
6,Kelleher,Konaté,Luis Díaz,Haaland,Barnes,Watkins,J.Araujo,Kerkez,Mbeumo,Madueke,N.Jackson
7,Havertz,Okoli,Luis Díaz,Van den Berg,Haaland,Johnson,Muric,Mbeumo,N.Jackson,Palmer,Greaves
8,A.Becker,M.Salah,Tsimikas,Johnson,Maddison,Milenković,Watkins,Solanke,Palmer,Raúl,Alex Moreno
9,M.Salah,Kovačić,Lewis,Wood,Udogie,Van de Ven,Vicario,Mbeumo,Welbeck,N.Jackson,Palmer
10,Kelleher,Konaté,M.Salah,Lewis,Rúben,Wood,Johnson,Buonanotte,N.Jackson,Palmer,Raúl
11,M.Salah,B.Fernandes,Alex Moreno,Sels,Wood,Johnson,Solanke,Mbeumo,Welbeck,Andersen,Bassey
12,Jones,Kelleher,M.Salah,Haaland,B.Fernandes,Isak,Rogers,N.Jackson,Mykolenko,Burgess,Johnson
13,M.Salah,B.Fernandes,Murillo,Milenković,Evanilson,Solanke,Mbeumo,Wissa,Raya,Saka,Alex Moreno
14,M.Salah,Evanilson,Watkins,Zabarnyi,Arrizabalaga,Enzo,N.Jackson,Palmer,Saka,Mykolenko,Young
15,J.Timber,M.Salah,Zinchenko,Evanilson,Kiwior,Watkins,Kluivert,Schade,Wissa,Arrizabalaga,Palmer
16,M.Salah,Quansah,Isak,Wood,Kluivert,Huijsen,Kiwior,João Pedro,Raya,Palmer,Saka
