Gameweek,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11
5,Madueke,Palmer,Calvert-Lewin,McNeil,Haaland,Dalot,Onana,Romero,Son,Mazraoui,Wissa
6,Gabriel,N.Jackson,Sánchez,Calvert-Lewin,McNeil,Alexander-Arnold,Luis Díaz,M.Salah,Dalot,Watkins,Mbeumo
7,Gabriel,Palmer,Sánchez,McNeil,Delap,Alexander-Arnold,Konaté,Watkins,Martinelli,Mbeumo,N.Jackson
8,McNeil,Raúl,Justin,Haaland,Kovačić,Dalot,Onana,Johnson,Maddison,De Ligt,Watkins
9,Pickford,Delap,Justin,Gvardiol,Haaland,Kovačić,Wood,Damsgaard,Mbeumo,Pinnock,Palmer
10,Palmer,McNeil,Pickford,Young,Raúl,Delap,Justin,M.Salah,Gvardiol,Wood,Mbeumo
11,Keane,Pickford,Jones,M.Salah,B.Fernandes,Aina,Wood,Maddison,Aït-Nouri,Cunha,Solanke
12,Pickford,Young,Jones,M.Salah,Virgil,Gvardiol,B.Fernandes,Garnacho,Isak,Cunha,Evanilson
13,Saka,M.Salah,Onana,Hall,Aina,Murillo,Evanilson,Janelt,Mbeumo,Wissa,N.Jackson
14,Gabriel,N.Jackson,Palmer,Muñoz,Pickford,Saka,Delap,M.Salah,Wan-Bissaka,João Pedro,Enzo
15,Saka,Kelleher,M.Salah,Wan-Bissaka,Isak,Emerson,Cunha,Huijsen,Kluivert,João Pedro,Mitoma
16,Palmer,Raya,Saliba,Isak,J.Timber,Maddison,Pedro Porro,Cunha,Kluivert,João Pedro,Enzo
