,0,1
0,4,"[{'Konaté'}, {'Haaland'}, {'Johnson'}, {'Son'}, {'Konsa'}, {'Bogarde'}, {'Mitoma'}, {'Welbeck'}, {'N.Jackson'}, {'Henderson'}, {'Saka'}]"
1,5,"[{'Kelleher'}, {'Konaté'}, {'Luis Díaz'}, {'Haaland'}, {'Barnes'}, {'Watkins'}, {'J.Araujo'}, {'Kerkez'}, {'Mbeumo'}, {'Madueke'}, {'N.Jackson'}]"
2,6,"[{'Havertz'}, {'Okoli'}, {'Luis Díaz'}, {'Van den Berg'}, {'Haaland'}, {'Johnson'}, {'Muric'}, {'Mbeumo'}, {'N.Jackson'}, {'Palmer'}, {'Greaves'}]"
3,7,"[{'A.Becker'}, {'M.Salah'}, {'Tsimikas'}, {'Johnson'}, {'Maddison'}, {'Milenković'}, {'Watkins'}, {'Solanke'}, {'Palmer'}, {'Raúl'}, {'Alex Moreno'}]"
4,8,"[{'M.Salah'}, {'Kovačić'}, {'Lewis'}, {'Wood'}, {'Udogie'}, {'Van de Ven'}, {'Vicario'}, {'Mbeumo'}, {'Welbeck'}, {'N.Jackson'}, {'Palmer'}]"
5,9,"[{'Kelleher'}, {'Konaté'}, {'M.Salah'}, {'Lewis'}, {'Rúben'}, {'Wood'}, {'Johnson'}, {'Buonanotte'}, {'N.Jackson'}, {'Palmer'}, {'Raúl'}]"
6,10,"[{'M.Salah'}, {'B.Fernandes'}, {'Alex Moreno'}, {'Sels'}, {'Wood'}, {'Johnson'}, {'Solanke'}, {'Mbeumo'}, {'Welbeck'}, {'Andersen'}, {'Bassey'}]"
7,11,"[{'Jones'}, {'Kelleher'}, {'M.Salah'}, {'Haaland'}, {'B.Fernandes'}, {'Isak'}, {'Rogers'}, {'N.Jackson'}, {'Mykolenko'}, {'Burgess'}, {'Johnson'}]"
8,12,"[{'M.Salah'}, {'B.Fernandes'}, {'Murillo'}, {'Milenković'}, {'Evanilson'}, {'Solanke'}, {'Mbeumo'}, {'Wissa'}, {'Raya'}, {'Saka'}, {'Alex Moreno'}]"
9,13,"[{'M.Salah'}, {'Evanilson'}, {'Watkins'}, {'Zabarnyi'}, {'Arrizabalaga'}, {'Enzo'}, {'N.Jackson'}, {'Palmer'}, {'Saka'}, {'Mykolenko'}, {'Young'}]"
10,14,"[{'J.Timber'}, {'M.Salah'}, {'Zinchenko'}, {'Evanilson'}, {'Kiwior'}, {'Watkins'}, {'Kluivert'}, {'Schade'}, {'Wissa'}, {'Arrizabalaga'}, {'Palmer'}]"
11,15,"[{'M.Salah'}, {'Quansah'}, {'Isak'}, {'Wood'}, {'Kluivert'}, {'Huijsen'}, {'Kiwior'}, {'João Pedro'}, {'Raya'}, {'Palmer'}, {'Saka'}]"
