,Player ID,Name,Last_Name,Team,Position,Cost_Today,Minutes,Avail,Gameweek,Form_player_xG_norm,Form_TeamxG_against_norm,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5
82,3,Gabriel,Gabriel,Arsenal,DEF,63,90,a,28,2.0,2.1826086956521737,17.753984063745023,34.93525896414343,56.69820717131475,79.6065737051793,101.36952191235062
166,6,Jurriën,J.Timber,Arsenal,DEF,56,90,a,28,2.0,2.1826086956521737,17.753984063745023,34.93525896414343,56.69820717131475,79.6065737051793,101.36952191235062
306,11,Eddie,Nketiah,Crystal Palace,FWD,59,71,a,28,3.4689349112426036,2.3652173913043475,20.483234714003945,58.88929980276134,94.73496055226825,130.58062130177515,168.98668639053255
362,13,Martin,Ødegaard,Arsenal,MID,82,90,a,28,2.2618343195266273,2.1826086956521737,27.007378839109606,47.660080304311066,66.72411242603549,92.77828965905887,121.37433784164551
390,14,Aaron,Ramsdale,Southampton,GK,44,90,a,28,2.0,3.069565217391304,10.18059490084986,20.768413597733712,29.72733711048159,41.129603399433435,54.160764872521256
418,15,David,Raya,Arsenal,GK,55,90,a,28,2.0,2.1826086956521737,17.753984063745023,34.93525896414343,56.69820717131475,79.6065737051793,101.36952191235062
446,16,Declan,Rice,Arsenal,MID,62,90,a,28,2.2440828402366866,2.1826086956521737,29.974535080304314,52.89623837700761,74.05473372781066,102.97134404057482,134.70908706677938
502,18,William,Saliba,Arsenal,DEF,62,90,a,28,2.2107988165680474,2.1826086956521737,17.753984063745023,34.93525896414343,56.69820717131475,79.6065737051793,101.36952191235062
530,19,Emile,Smith Rowe,Fulham,MID,51,81,a,28,2.3550295857988166,2.234782608695652,17.887010425471964,39.0262045646661,55.28712313327698,78.0524091293322,100.81769512538743
558,20,Thomas,Thomas,Arsenal,MID,49,75,a,28,2.099852071005917,2.1826086956521737,22.94838334742181,40.49714708368555,56.696005917159766,78.83444632290787,103.1327345731192
642,23,Leandro,Trossard,Arsenal,MID,68,90,a,28,2.521449704142012,2.1826086956521737,30.61760355029586,54.0310650887574,75.64349112426036,105.18047337278108,137.5991124260355
1006,36,Lucas,Digne,Aston Villa,DEF,45,90,a,28,2.0155325443786984,2.6782608695652175,10.267857142857142,21.469155844155843,36.40422077922078,48.35227272727273,61.42045454545455
1230,44,Ezri,Konsa,Aston Villa,DEF,44,90,a,28,2.0665680473372783,2.6782608695652175,10.267857142857142,21.469155844155843,36.40422077922078,48.35227272727273,61.42045454545455
1370,49,Tyrone,Mings,Aston Villa,DEF,44,90,a,28,2.1775147928994083,2.6782608695652175,10.267857142857142,21.469155844155843,36.40422077922078,48.35227272727273,61.42045454545455
1426,51,Robin,Olsen,Aston Villa,GK,45,90,a,28,2.0,2.6782608695652175,10.267857142857142,21.469155844155843,36.40422077922078,48.35227272727273,61.42045454545455
1482,53,Jacob,Ramsey,Aston Villa,MID,54,67,a,28,2.062130177514793,2.6782608695652175,22.06970273316427,40.57977599323753,66.20910819949282,86.14303324880248,107.50081008734855
1510,54,Morgan,Rogers,Aston Villa,MID,56,90,a,28,2.6479289940828403,2.6782608695652175,32.24799239222316,59.29469568892646,96.74397717666949,125.87119611158073,157.0789306846999
1594,57,Youri,Tielemans,Aston Villa,MID,55,90,a,28,2.195266272189349,2.6782608695652175,22.684418145956606,41.71005917159763,68.05325443786981,88.54240631163707,110.49506903353056
1622,58,Ollie,Watkins,Aston Villa,FWD,89,90,a,28,2.7322485207100593,2.6782608695652175,37.30820301493379,68.5989539306847,111.92460904480134,145.6223408002254,181.72705339532263
1678,60,Tyler,Adams,Bournemouth,MID,49,90,a,28,2.044378698224852,2.3391304347826085,24.7637538743308,47.51963581290505,74.29126162299241,93.03139969005355,118.46444420963653
1762,63,Ryan,Christie,Bournemouth,MID,49,70,a,28,2.16198224852071,2.3391304347826085,30.47365455057762,58.47647224570301,91.42096365173288,114.48210763595378,145.77937447168216
1790,64,Lewis,Cook,Bournemouth,MID,50,90,a,28,2.011094674556213,2.3391304347826085,23.91766166525782,45.89605346576501,71.75298499577346,89.85283706677939,114.41692202028742
1902,68,James,Hill,Bournemouth,DEF,39,90,a,28,2.2263313609467454,2.3391304347826085,21.375464684014872,40.613382899628256,58.7825278810409,73.7453531598513,87.63940520446097
1958,70,Milos,Kerkez,Bournemouth,DEF,51,90,a,28,2.022189349112426,2.3391304347826085,21.375464684014872,40.613382899628256,58.7825278810409,73.7453531598513,87.63940520446097
1986,71,Justin,Kluivert,Bournemouth,MID,61,90,a,28,2.3727810650887573,2.3391304347826085,40.23841222879684,77.21425049309664,120.71523668639053,151.16592702169623,192.49186390532543
2182,78,Antoine,Semenyo,Bournemouth,MID,57,89,a,28,2.4282544378698225,2.3391304347826085,28.878883136094675,55.4162352071006,86.63664940828403,108.49093934911244,138.1503328402367
2294,82,Dominic,Solanke,Spurs,FWD,73,90,a,28,2.0665680473372783,2.6782608695652175,18.68521942800789,33.15119575936884,53.64466222879685,67.62843934911243,88.12190581854044
2322,83,Marcus,Tavernier,Bournemouth,MID,54,80,a,28,2.3816568047337277,2.3391304347826085,31.996425049309664,61.39854536489152,95.98927514792899,120.20278599605523,153.06397928994082
2406,86,Kristoffer,Ajer,Brentford,DEF,44,90,a,28,2.099852071005917,2.2869565217391306,10.384980988593156,23.502851711026615,33.34125475285171,46.02186311787072,58.04657794676806
2462,88,Nathan,Collins,Brentford,DEF,45,90,a,28,2.16198224852071,2.2869565217391306,10.384980988593156,23.502851711026615,33.34125475285171,46.02186311787072,58.04657794676806
2490,89,Mikkel,Damsgaard,Brentford,MID,51,90,a,28,2.2152366863905324,2.2869565217391306,11.603620738236122,26.108146661031277,47.86493554522401,59.46855628346013,76.8739873908143
2546,91,Mark,Flekken,Brentford,GK,44,90,a,28,2.0,2.2869565217391306,10.384980988593156,23.502851711026615,33.34125475285171,46.02186311787072,58.04657794676806
2630,94,Vitaly,Janelt,Brentford,MID,49,74,a,28,2.088757396449704,2.2869565217391306,11.140039447731754,25.065088757396445,45.95266272189348,57.092702169625234,73.80276134122286
2742,98,Keane,Lewis-Potter,Brentford,MID,50,90,a,28,2.128698224852071,2.2869565217391306,11.353057199211046,25.544378698224854,46.83136094674556,58.184418145956606,75.21400394477317
2770,99,Bryan,Mbeumo,Brentford,MID,81,90,a,28,2.603550295857988,2.2869565217391306,15.373344604113836,34.59002535925613,63.415046491969576,78.78839109608342,101.84840800225416
2826,101,Christian,Nørgaard,Brentford,MID,48,90,a,28,2.1375739644970415,2.2869565217391306,10.586080586080588,23.81868131868132,43.66758241758242,54.25366300366301,70.13278388278388
2910,104,Ethan,Pinnock,Brentford,DEF,44,90,a,28,2.0,2.2869565217391306,10.384980988593156,23.502851711026615,33.34125475285171,46.02186311787072,58.04657794676806
2966,106,Kevin,Schade,Brentford,MID,51,90,a,28,2.399408284023669,2.2869565217391306,14.624964778810932,32.9061707523246,60.327979712595095,74.95294449140603,96.89039165962242
3078,110,Yoane,Wissa,Brentford,FWD,65,90,a,28,3.4822485207100593,2.2869565217391306,22.88334742180896,51.48753169907016,94.39380811496196,117.27715553677092,151.60217666948438
3218,115,Carlos,Baleba,Brighton,MID,50,85,a,28,2.039940828402367,2.1304347826086953,23.119329388560153,44.878698224852066,66.63806706114397,88.94142011834317,112.06074950690333
3386,121,Julio,Enciso,Brighton,MID,54,74,a,28,2.0776627218934913,2.1304347826086953,21.02396801916033,40.81123203719358,60.59849605522683,80.88044167371092,101.90440969287124
3414,122,Pervis,Estupiñan,Brighton,DEF,49,90,a,28,2.0,2.1304347826086953,18.188775510204085,35.79081632653062,52.21938775510205,70.05612244897961,88.83163265306123
3526,126,Jack,Hinshelwood,Brighton,MID,49,90,a,28,2.0,2.1304347826086953,21.857142857142858,42.42857142857143,63.0,84.08571428571429,105.94285714285715
3610,129,João Pedro,João Pedro,Brighton,FWD,55,90,a,28,3.6819526627218933,2.1304347826086953,54.39646731473654,105.59314243448858,156.78981755424064,209.26640955198647,263.662876866723
3778,135,Yankuba,Minteh,Brighton,MID,50,76,a,28,2.2840236686390534,2.1304347826086953,31.43251620174697,61.016060862214715,90.59960552268245,120.92273879966189,152.35525500140886
3806,136,Mitoma,Mitoma,Brighton,MID,65,85,a,28,2.8054733727810652,2.1304347826086953,35.769785502958584,69.43546597633136,103.10114644970415,137.60846893491123,173.37825443786983
4030,144,Jan Paul,Van Hecke,Brighton,DEF,45,90,a,28,2.2485207100591715,2.1304347826086953,18.188775510204085,35.79081632653062,52.21938775510205,70.05612244897961,88.83163265306123
4086,146,Bart,Verbruggen,Brighton,GK,45,90,a,28,2.0,2.1304347826086953,18.188775510204085,35.79081632653062,52.21938775510205,70.05612244897961,88.83163265306123
4114,147,Adam,Webster,Brighton,DEF,43,90,a,28,2.0,2.1304347826086953,18.188775510204085,35.79081632653062,52.21938775510205,70.05612244897961,88.83163265306123
4254,152,Kepa,Arrizabalaga,Bournemouth,GK,46,90,a,28,2.0665680473372783,2.3391304347826085,21.375464684014872,40.613382899628256,58.7825278810409,73.7453531598513,87.63940520446097
4395,157,Moisés,Caicedo,Chelsea,MID,49,90,a,28,2.062130177514793,2.1304347826086953,17.184418145956606,39.180473372781066,65.30078895463511,91.14615384615385,115.89171597633137
4535,162,Levi,Colwill,Chelsea,DEF,44,90,a,28,2.1664201183431953,2.1304347826086953,12.908163265306126,31.68367346938776,46.93877551020409,67.59183673469389,84.02040816326532
4563,163,Marc,Cucurella,Chelsea,DEF,52,90,a,28,2.459319526627219,2.1304347826086953,12.908163265306126,31.68367346938776,46.93877551020409,67.59183673469389,84.02040816326532
4675,167,Axel,Disasi,Chelsea,DEF,42,90,a,28,2.0776627218934913,2.1304347826086953,12.908163265306126,31.68367346938776,46.93877551020409,67.59183673469389,84.02040816326532
4703,168,Enzo,Enzo,Chelsea,MID,47,90,a,28,2.2263313609467454,2.1304347826086953,19.877958579881657,45.321745562130175,75.53624260355029,105.4326923076923,134.0569526627219
5067,181,Christopher,Nkunku,Chelsea,MID,57,88,a,28,2.5502958579881656,2.1304347826086953,28.84263172724711,65.76120033812342,109.60200056353902,152.98131868131867,194.51470836855452
5095,182,Cole,Palmer,Chelsea,MID,110,72,a,28,4.114644970414201,2.1304347826086953,34.28870808678501,78.17825443786981,130.297090729783,181.86730769230766,231.24304733727809
5179,185,Robert,Sánchez,Chelsea,GK,45,90,a,28,2.0,2.1304347826086953,12.908163265306126,31.68367346938776,46.93877551020409,67.59183673469389,84.02040816326532
5235,187,Tosin,Tosin,Chelsea,DEF,42,90,a,28,2.0554733727810652,2.1304347826086953,12.908163265306126,31.68367346938776,46.93877551020409,67.59183673469389,84.02040816326532
5263,188,Lesley,Ugochukwu,Southampton,MID,44,83,a,28,2.011094674556213,3.069565217391304,14.963502042828967,29.328464003944774,46.08758629191321,64.28320477599323,81.04232706396166
5291,189,Wesley,W.Fofana,Chelsea,DEF,43,72,a,28,2.022189349112426,2.1304347826086953,12.908163265306126,31.68367346938776,46.93877551020409,67.59183673469389,84.02040816326532
5347,191,Joachim,Andersen,Fulham,DEF,42,90,a,28,2.0,2.234782608695652,13.983463035019454,30.7636186770428,40.831712062256805,56.49319066147859,67.67996108949416
5431,194,Chris,C.Richards,Crystal Palace,DEF,44,90,a,28,2.144230769230769,2.3652173913043475,14.797794117647062,31.709558823529417,44.39338235294118,59.191176470588246,68.70404411764707
5571,199,Eberechi,Eze,Crystal Palace,MID,67,90,a,28,2.75,2.3652173913043475,15.976190476190476,45.93154761904762,73.88988095238095,101.84821428571428,131.80357142857142
5599,200,Marc,Guéhi,Crystal Palace,DEF,47,90,a,28,2.039940828402367,2.3652173913043475,14.797794117647062,31.709558823529417,44.39338235294118,59.191176470588246,68.70404411764707
5627,201,Dean,Henderson,Crystal Palace,GK,46,90,a,28,2.0,2.3652173913043475,14.797794117647062,31.709558823529417,44.39338235294118,59.191176470588246,68.70404411764707
5767,206,Jefferson,Lerma,Crystal Palace,MID,48,90,a,28,2.106508875739645,2.3652173913043475,10.231614539306848,29.41589180050719,47.321217244294175,65.22654268808117,84.4108199492815
5879,210,Tyrick,Mitchell,Crystal Palace,DEF,48,71,a,28,2.665680473372781,2.3652173913043475,14.797794117647062,31.709558823529417,44.39338235294118,59.191176470588246,68.70404411764707
5907,211,Daniel,Muñoz,Crystal Palace,DEF,50,90,a,28,2.3106508875739644,2.3652173913043475,14.797794117647062,31.709558823529417,44.39338235294118,59.191176470588246,68.70404411764707
6047,216,Adam,Wharton,Crystal Palace,MID,47,86,a,28,2.033284023668639,2.3652173913043475,10.456889264581573,30.063556635672022,48.36311284868978,66.66266906170753,86.26933643279799
6076,217,Abdoulaye,A.Doucoure,Everton,MID,51,62,a,28,2.1597633136094676,2.3652173913043475,17.638067061143985,27.716962524654836,39.05571992110454,49.13461538461539,66.77268244575937
6105,218,Norberto Bercique,Beto,Everton,FWD,51,90,a,28,3.369082840236686,2.3652173913043475,34.25234220907297,53.8251091856861,75.84447203437587,95.417239010989,129.66958122006196
6134,219,Jarrad,Branthwaite,Everton,DEF,48,90,a,28,2.0776627218934913,2.3652173913043475,21.139705882352942,30.652573529411768,47.56433823529412,58.55698529411765,77.5827205882353
6221,222,Idrissa,Gana,Everton,MID,48,90,a,28,2.0710059171597632,2.3652173913043475,19.32938856015779,30.374753451676526,42.8007889546351,53.84615384615384,73.17554240631162
6250,223,James,Garner,Everton,MID,49,90,a,28,2.0554733727810652,2.3652173913043475,18.499260355029588,29.07026627218935,40.96264792899409,51.533653846153854,70.03291420118344
6279,224,Jack,Harrison,Everton,MID,52,90,a,28,2.128698224852071,2.3652173913043475,22.351331360946748,35.123520710059175,49.49223372781066,62.26442307692308,84.61575443786982
6482,231,Vitalii,Mykolenko,Everton,DEF,44,90,a,28,2.0,2.3652173913043475,21.139705882352942,30.652573529411768,47.56433823529412,58.55698529411765,77.5827205882353
6597,235,Jordan,Pickford,Everton,GK,51,90,a,28,2.0,2.3652173913043475,21.139705882352942,30.652573529411768,47.56433823529412,58.55698529411765,77.5827205882353
6626,236,James,Tarkowski,Everton,DEF,49,90,a,28,2.05103550295858,2.3652173913043475,21.139705882352942,30.652573529411768,47.56433823529412,58.55698529411765,77.5827205882353
6739,240,Andreas,Andreas,Fulham,MID,49,81,a,28,2.11094674556213,2.234782608695652,17.138877148492533,37.39391377852916,52.97471118624964,74.78782755705832,96.60094392786701
6767,241,Calvin,Bassey,Fulham,DEF,45,90,a,28,2.088757396449704,2.234782608695652,13.983463035019454,30.7636186770428,40.831712062256805,56.49319066147859,67.67996108949416
6851,244,Timothy,Castagne,Fulham,DEF,42,90,a,28,2.0665680473372783,2.234782608695652,13.983463035019454,30.7636186770428,40.831712062256805,56.49319066147859,67.67996108949416
6879,245,Issa,Diop,Fulham,DEF,44,90,a,28,2.0,2.234782608695652,13.983463035019454,30.7636186770428,40.831712062256805,56.49319066147859,67.67996108949416
6935,247,Alex,Iwobi,Fulham,MID,56,88,a,28,2.2551775147928996,2.234782608695652,16.5379684418146,36.082840236686394,51.117357001972394,72.16568047337279,93.21400394477318
6963,248,Bernd,Leno,Fulham,GK,50,90,a,28,2.0,2.234782608695652,13.983463035019454,30.7636186770428,40.831712062256805,56.49319066147859,67.67996108949416
7075,252,Raúl,Raúl,Fulham,FWD,55,68,a,28,3.158284023668639,2.234782608695652,25.642258382643,55.946745562130175,79.25788954635108,111.89349112426035,144.52909270216963
7159,255,Antonee,Robinson,Fulham,DEF,50,90,a,28,2.0,2.234782608695652,13.983463035019454,30.7636186770428,40.831712062256805,56.49319066147859,67.67996108949416
7495,267,Leif,Davis,Ipswich,DEF,43,90,a,28,2.011094674556213,3.1999999999999997,8.593750000000002,17.187500000000004,27.343750000000004,34.53125,42.34375
7523,268,Liam,Delap,Ipswich,FWD,56,82,a,28,2.3772189349112427,3.1999999999999997,18.366846294730912,35.06397928994083,55.10053888419273,72.46555719921105,87.49297689489997
7579,270,Jacob,Greaves,Ipswich,DEF,39,90,a,28,2.3106508875739644,3.1999999999999997,8.593750000000002,17.187500000000004,27.343750000000004,34.53125,42.34375
7971,284,Luke,Woolfenden,Ipswich,DEF,39,90,a,28,2.0,3.1999999999999997,8.593750000000002,17.187500000000004,27.343750000000004,34.53125,42.34375
7999,285,Boubakary,B.Soumaré,Leicester,MID,44,65,a,28,2.0,2.5478260869565217,10.095238095238095,26.5,37.85714285714286,54.00952380952381,65.36666666666667
