,Player ID,Name,Last_Name,Team,Position,Cost_Today,GW Points,Form,Gameweek,Avail,GW16,GW17,GW18,GW19,GW20,NGW1,NGW2,NGW3,NGW4,NGW5,F_1,F_2,F_3,F_4,F_5,FDI_1,FDI_2,FDI_3,FDI_4,FDI_5
14,1,David,Raya Martín,Arsenal,GK,59.0,2.0,1.32,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.96
29,2,Kepa,Arrizabalaga Revuelta,Arsenal,GK,42.0,0.0,1.06,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.18
44,3,Karl,Hein,Arsenal,GK,40.0,0.0,1.06,15.0,u,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.18
59,4,Tommy,Setford,Arsenal,GK,39.0,0.0,1.06,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.18
74,5,Gabriel,dos Santos Magalhães,Arsenal,DEF,63.0,0.0,1.06,15.0,i,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.18
89,6,William,Saliba,Arsenal,DEF,60.0,0.0,1.1,15.0,d,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.3
104,7,Riccardo,Calafiori,Arsenal,DEF,58.0,1.0,1.26,15.0,s,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.78
119,8,Jurriën,Timber,Arsenal,DEF,64.0,3.0,1.28,15.0,d,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.84
134,9,Jakub,Kiwior,Arsenal,DEF,54.0,0.0,1.06,15.0,u,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.18
149,10,Myles,Lewis-Skelly,Arsenal,DEF,51.0,1.0,1.1,15.0,a,WOL (H),EVE (A),BHA (H),AVL (H),BOU (A),0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,inf,inf,inf,inf,3.3
